,PER,TS%,3PAr,FTr,ORB%,AST%,TOV%,PT,W/L
51,[0.54571429],[-0.04127619],[-0.10164762],[-0.07501905],[0.74],[0.01619048],[-3.13333333],-8.0,0.0
52,[0.96942356],[0.02574687],[0.06706767],[-0.029],[0.31027569],[-0.339599],[1.85062657],-16.0,0.0
53,[-1.08526316],[-0.01125263],[0.02729825],[-0.05815789],[0.53438596],[-0.72280702],[-0.55649123],2.0,1.0
54,[0.6699095],[0.04802941],[0.05409729],[0.01986652],[-1.2561086],[-0.40837104],[-0.57647059],-6.0,0.0
55,[-0.60555556],[0.02929861],[0.13311111],[-0.01745833],[-1.34652778],[-0.93263889],[-0.23402778],19.0,1.0
56,[1.37333333],[0.03222222],[0.00122222],[-0.02584444],[-0.08111111],[2.57777778],[2.28111111],-3.0,0.0
57,[-3.50333333],[-0.06361667],[0.03030833],[-0.03230833],[-0.0875],[1.62833333],[0.24],-16.0,0.0
58,[2.36561404],[0.04617544],[0.09594386],[0.02586667],[0.15122807],[1.05754386],[-0.85508772],-6.0,0.0
59,[-2.1993808],[-0.04075851],[0.10045511],[-0.10204025],[-1.30835913],[-2.65417957],[-4.51609907],-26.0,0.0
60,[1.59309211],[0.0371875],[-0.14767763],[0.03010526],[1.19078947],[1.68289474],[0.93322368],-18.0,0.0
61,[2.83881579],[0.06275],[0.04597697],[0.13725329],[1.29671053],[2.77269737],[0.88947368],3.0,1.0
62,[3.19473684],[0.07115789],[-0.02342105],[-0.02352632],[-0.24210526],[2.25789474],[-0.53157895],-8.0,0.0
63,[-0.09323308],[-0.02198496],[-0.13125815],[0.01704762],[0.90877193],[0.32531328],[-1.96491228],4.0,1.0
64,[1.45555556],[0.03197917],[-0.08605556],[0.063125],[1.81319444],[1.03263889],[2.46180556],13.0,1.0
65,[2.55666667],[0.05475],[-0.01670833],[0.02964167],[0.53416667],[-0.975],[1.18666667],10.0,1.0
66,[1.08300654],[0.03376144],[-0.02165686],[0.06288235],[1.25718954],[0.10359477],[2.11405229],-20.0,0.0
67,[1.31529412],[0.01472941],[0.00439216],[-0.01794118],[-0.13098039],[-0.70196078],[-0.98313725],11.0,1.0
68,[-0.66794872],[-0.05305556],[-0.04292735],[-0.01269658],[1.96623932],[-1.57136752],[0.07222222],1.0,1.0
69,[-0.49291667],[0.00952917],[0.00164167],[-0.02455833],[-0.5625],[2.22],[1.55458333],14.0,1.0
70,[2.24944444],[0.05666111],[0.07216111],[-0.10143333],[0.96722222],[-0.89388889],[0.93722222],-15.0,0.0
71,[2.16631579],[0.07613333],[0.01438947],[0.14938246],[1.51087719],[1.7722807],[3.78947368],-17.0,0.0
72,[-0.71180556],[-0.02685417],[0.12768056],[-0.032],[-0.36944444],[-1.11388889],[-1.24930556],-17.0,0.0
73,[2.47368421],[0.06910526],[-0.05857895],[0.01873684],[0.71052632],[2.80526316],[2.12105263],-26.0,0.0
74,[-0.00723684],[-0.00969737],[-0.08481908],[0.01122039],[0.26644737],[0.89572368],[2.56315789],-20.0,0.0
75,[-0.96942356],[-0.02574687],[-0.06706767],[0.029],[-0.31027569],[0.339599],[-1.85062657],1.0,1.0
76,[-0.51375],[-0.0308625],[0.00395833],[0.022625],[0.24916667],[-2.86666667],[-2.88791667],24.0,1.0
77,[0.43964912],[0.01066667],[-0.05194386],[0.03144912],[1.19087719],[0.40561404],[3.47614035],16.0,1.0
78,[0.17982456],[-0.00791667],[0.04501096],[-0.02973026],[-1.22828947],[-2.56622807],[-1.75614035],-11.0,0.0
79,[-1.34444444],[-0.0155],[0.05827778],[0.04411111],[0.25555556],[-3.10555556],[-1.36666667],-11.0,0.0
80,[1.37529412],[0.02719608],[0.01239216],[-0.01867451],[0.62901961],[0.59803922],[1.77686275],6.0,1.0
81,[0.98666667],[0.02922083],[0.03073333],[0.00080833],[-1.31875],[-0.66375],[-0.62958333],5.0,1.0
82,[-1.60233918],[-0.01238596],[-0.01516082],[0.04415789],[0.13128655],[-0.02163743],[2.96871345],-32.0,0.0
83,[0.33519737],[0.00202961],[-0.02241447],[-0.063],[-0.56710526],[-0.09078947],[0.47532895],-22.0,0.0
84,[-1.75950226],[0.00379412],[0.12286199],[-0.00607466],[-2.9678733],[-1.63778281],[-3.55294118],-10.0,0.0
85,[-0.42],[-0.03433333],[-0.02593333],[-0.05906667],[0.58666667],[1.17333333],[-0.89333333],-32.0,0.0
86,[0.40526316],[0.00198596],[-0.01256491],[0.03822456],[-0.1477193],[0.94280702],[0.90982456],-12.0,0.0
87,[1.09619048],[0.01062857],[-0.01712381],[-0.00206667],[-0.75238095],[-0.49619048],[-0.79238095],25.0,1.0
88,[-0.12678571],[-0.02789286],[-0.13323512],[-0.06288988],[0.95416667],[-0.98422619],[-0.23333333],-9.0,0.0
89,[-1.77605263],[-0.02020789],[0.08016053],[0.0521],[-1.43710526],[-0.21078947],[0.51657895],4.0,1.0
90,[-2.52777778],[-0.03802778],[0.07620833],[-0.011375],[-0.35972222],[0.44722222],[-0.27222222],12.0,1.0
91,[3.06160991],[0.05652941],[-0.0071517],[0.07237461],[1.96656347],[2.24365325],[1.9130031],-1.0,0.0
92,[-1.37333333],[-0.03222222],[-0.00122222],[0.02584444],[0.08111111],[-2.57777778],[-2.28111111],-3.0,0.0
93,[-0.80222672],[0.01439474],[0.03856478],[0.07917611],[-0.83319838],[-2.22044534],[-1.53157895],-8.0,0.0
94,[1.39944444],[-0.00461667],[0.02510556],[-0.1471],[0.50055556],[-0.99388889],[-1.29055556],-8.0,0.0
95,[2.06561404],[0.03637544],[0.04994386],[-0.03106667],[-0.44210526],[-0.83578947],[1.05824561],-6.0,0.0
96,[-3.61078431],[-0.07178922],[0.0978652],[-0.07425735],[-1.61691176],[0.34362745],[-2.38627451],-21.0,0.0
97,[0.63422619],[0.02371726],[0.08948214],[0.034],[0.87738095],[-0.24880952],[1.37529762],-7.0,0.0
98,[0.06],[0.01246667],[0.008],[-0.00073333],[0.76],[1.3],[2.76],-31.0,0.0
99,[-0.98571429],[0.01483036],[0.11204762],[0.01482738],[-1.78541667],[-0.15327381],[0.27708333],-14.0,0.0
100,[1.94539474],[0.03130263],[-0.09208224],[-0.02909539],[0.85065789],[-0.08322368],[-0.46315789],16.0,1.0
101,[0.89333333],[-0.01457778],[-0.03271111],[-0.08417778],[-0.25444444],[2.45111111],[-1.37222222],-7.0,0.0
102,[-1.09930556],[-0.00945139],[0.10073611],[0.00629167],[0.53472222],[-2.48888889],[-1.15902778],2.0,1.0
103,[-0.63219814],[-0.01229412],[-0.061613],[-0.04643344],[-0.25479876],[-1.01424149],[1.06346749],24.0,1.0
104,[-0.75555556],[-0.0306],[0.03498889],[-0.04206667],[-0.56777778],[0.05777778],[-0.85222222],3.0,1.0
105,[1.67145749],[0.0835],[-0.02001417],[0.09791296],[-0.12267206],[0.58481781],[0.58947368],6.0,1.0
106,[-0.12573099],[-0.02316082],[-0.06264035],[0.02236842],[0.87748538],[-0.68625731],[-0.09269006],10.0,1.0
107,[-1.28666667],[-0.03902083],[-0.07673333],[-0.05774167],[0.72541667],[-1.22958333],[2.54291667],-28.0,0.0
108,[1.08526316],[0.01125263],[-0.02729825],[0.05815789],[-0.53438596],[0.72280702],[0.55649123],2.0,1.0
109,[4.0445614],[0.07358596],[-0.0401614],[0.01977544],[0.36315789],[0.39052632],[-1.13649123],13.0,1.0
110,[-0.63422619],[-0.02371726],[-0.08948214],[-0.034],[-0.87738095],[0.24880952],[-1.37529762],-4.0,0.0
111,[0.09684211],[0.0064386],[0.00314035],[-0.04063509],[-1.05192982],[1.21403509],[-0.82175439],-2.0,0.0
112,[-0.93375],[-0.06519583],[-0.021975],[-0.03644167],[0.83583333],[-1.69333333],[-3.78125],-10.0,0.0
113,[2.74547619],[0.04595476],[-0.01309286],[-0.0811],[1.74738095],[-0.12880952],[1.33404762],-21.0,0.0
114,[-2.16631579],[-0.07613333],[-0.01438947],[-0.14938246],[-1.51087719],[-1.7722807],[-3.78947368],11.0,1.0
115,[1.09930556],[0.00945139],[-0.10073611],[-0.00629167],[-0.53472222],[2.48888889],[1.15902778],6.0,1.0
116,[2.03041667],[0.04414583],[0.11835833],[0.08886667],[0.71833333],[1.14833333],[-1.33041667],6.0,1.0
117,[1.68666667],[0.0306],[-0.02033333],[0.02186667],[-0.07333333],[0.42666667],[0.98],11.0,1.0
118,[1.00154799],[0.03547059],[-0.07411146],[0.07804644],[1.13343653],[0.99318885],[1.16594427],-10.0,0.0
119,[1.0925],[0.02095],[0.05752083],[0.0469375],[-0.80083333],[-0.17291667],[-2.00666667],14.0,1.0
120,[0.67649573],[-0.03755556],[-0.10120513],[-0.05680769],[1.71068376],[1.53418803],[1.43888889],27.0,1.0
121,[0.34761905],[0.02669841],[0.06893651],[-0.00915873],[-0.99444444],[2.43492063],[1.76111111],18.0,1.0
122,[0.],[0.],[0.],[0.],[0.],[0.],[0.],-7.0,0.0
123,[-2.42745098],[-0.04926144],[0.07993464],[-0.01877124],[-1.00163399],[-3.20915033],[-3.48071895],-13.0,0.0
124,[1.12361111],[0.01669444],[0.00602083],[0.0279375],[-0.21527778],[1.65486111],[-0.16111111],-26.0,0.0
125,[-1.95263158],[-0.041],[0.00726316],[0.04031579],[-0.58421053],[0.97894737],[3.02631579],2.0,1.0
126,[1.68631579],[0.02933333],[-0.01954386],[0.09104912],[1.33754386],[1.64561404],[0.13614035],-7.0,0.0
127,[-0.66526316],[0.0230807],[0.05323158],[0.00090877],[-0.0522807],[-1.89614035],[0.33684211],-16.0,0.0
128,[0.49603175],[-0.01070635],[-0.08525397],[0.02033333],[0.78015873],[0.76507937],[0.3968254],-27.0,0.0
129,[-2.31414474],[-0.03924013],[0.11251974],[0.01215789],[-0.23815789],[-1.13552632],[1.71940789],-19.0,0.0
130,[-0.96571429],[0.00694286],[0.07571429],[0.01595238],[-0.15333333],[1.15714286],[2.24],-32.0,0.0
131,[1.95205128],[-0.00216667],[-0.00930513],[0.02105897],[2.03179487],[2.24641026],[-0.98666667],-1.0,0.0
132,[-2.51666667],[-0.03439583],[0.06104167],[-0.0315],[-1.40625],[0.96458333],[-0.38958333],-16.0,0.0
133,[-1.19375],[-0.04012917],[0.01869167],[0.00269167],[0.63583333],[-2.64666667],[-2.53458333],-4.0,0.0
134,[-2.32196078],[-0.03606275],[0.00120784],[0.01600784],[-0.18235294],[0.05529412],[-0.35019608],6.0,1.0
135,[-0.9968254],[0.01119841],[0.12721429],[0.03495238],[-0.73888889],[-0.67063492],[0.39444444],-7.0,0.0
136,[-2.155],[-0.02598333],[0.00988333],[0.10503333],[-1.06833333],[1.05166667],[0.43833333],3.0,1.0
137,[0.03355263],[0.00590789],[0.00197697],[0.0799375],[-0.04539474],[1.30953947],[-1.73157895],7.0,1.0
138,[-1.49555556],[-0.05233333],[0.04172222],[-0.06126667],[-0.94111111],[-1.02222222],[-3.25888889],25.0,1.0
139,[0.51815789],[-0.01495],[0.04510263],[-0.14520526],[-0.32078947],[-1.56289474],[-0.97447368],-7.0,0.0
140,[-3.80333333],[-0.07341667],[-0.01569167],[-0.08924167],[-0.68083333],[-0.265],[2.15333333],-7.0,0.0
141,[-3.05964912],[-0.06155556],[0.01832164],[-0.06520468],[-1.25643275],[-4.22339181],[-2.41725146],-16.0,0.0
142,[-0.33519737],[-0.00202961],[0.02241447],[0.063],[0.56710526],[0.09078947],[-0.47532895],-10.0,0.0
143,[-1.31529412],[-0.01472941],[-0.00439216],[0.01794118],[0.13098039],[0.70196078],[0.98313725],4.0,1.0
144,[-0.44],[-0.02644583],[0.0104],[-0.06019167],[-1.04541667],[-0.13708333],[-2.85625],-3.0,0.0
145,[0.4997076],[0.03266374],[0.06947953],[0.04182456],[-0.24883041],[1.1005848],[2.28538012],-2.0,0.0
146,[2.39251012],[0.08555263],[0.01514372],[0.0556498],[-1.07530364],[0.03744939],[-2.06315789],-7.0,0.0
