,PER,TS%,3PAr,FTr,ORB%,AST%,TOV%,PT,W/L
695,[2.42941176],[0.04423529],[-0.06876471],[0.02594118],[1.71176471],[1.22941176],[2.97647059],15.0,1.0
696,[2.34795322],[0.04594444],[-0.1212193],[0.04110526],[1.5880117],[2.11900585],[2.02836257],8.0,1.0
697,[0.44711538],[0.05425],[0.10722596],[0.08474519],[-1.92596154],[0.12067308],[-1.6],16.0,1.0
698,[1.72631579],[0.0496875],[0.02478947],[0.08919079],[0.46546053],[1.63519737],[0.93322368],8.0,1.0
699,[-0.12222222],[-0.02011111],[0.04294444],[-0.08711111],[-1.02222222],[1.55555556],[-0.97777778],-18.0,0.0
700,[-2.99184211],[-0.05415526],[0.01347632],[0.12646842],[-0.38973684],[-1.24236842],[-1.14657895],-1.0,0.0
701,[1.05894737],[0.01504211],[0.05554386],[-0.033],[-0.7554386],[-1.48245614],[-0.27508772],5.0,1.0
702,[2.80526316],[0.05684211],[0.044],[0.05731579],[1.34210526],[1.46315789],[2.62105263],-16.0,0.0
703,[-0.54122807],[-0.0099693],[0.00985307],[0.01253289],[-0.27565789],[-2.01885965],[0.89649123],-32.0,0.0
704,[-0.72777778],[-0.04116667],[-0.09],[0.04144444],[0.55555556],[-1.65555556],[-1.25],-31.0,0.0
705,[-1.59309211],[-0.0371875],[0.14767763],[-0.03010526],[-1.19078947],[-1.68289474],[-0.93322368],16.0,1.0
706,[2.1993808],[0.04075851],[-0.10045511],[0.10204025],[1.30835913],[2.65417957],[4.51609907],16.0,1.0
707,[-0.59047619],[-0.01997143],[0.00320952],[-0.02393333],[-0.67904762],[-0.92285714],[-1.77238095],-8.0,0.0
708,[0.3],[0.0098],[0.046],[0.05693333],[0.59333333],[1.89333333],[-1.91333333],8.0,1.0
709,[-0.34305556],[-0.01891667],[0.10724306],[-0.0150625],[-0.98194444],[0.10486111],[-2.50555556],-28.0,0.0
710,[0.49375],[0.03875],[0.032375],[-0.02375],[-1.88125],[1.55625],[0.925],-4.0,0.0
711,[-0.80222672],[0.01439474],[0.03856478],[0.07917611],[-0.83319838],[-2.22044534],[-1.53157895],-6.0,0.0
712,[-0.34957983],[-0.02167227],[-0.08010644],[0.0019888],[0.28431373],[-0.45518207],[-1.25686275],9.0,1.0
713,[0.96942356],[0.02574687],[0.06706767],[-0.029],[0.31027569],[-0.339599],[1.85062657],6.0,1.0
714,[3.80333333],[0.07341667],[0.01569167],[0.08924167],[0.68083333],[0.265],[-2.15333333],13.0,1.0
715,[-0.63219814],[-0.01229412],[-0.061613],[-0.04643344],[-0.25479876],[-1.01424149],[1.06346749],-22.0,0.0
716,[1.2375],[0.043875],[0.074],[0.007375],[-0.4375],[1.475],[2.1375],4.0,1.0
717,[-2.35789474],[-0.04298596],[0.01982807],[0.00209123],[-0.43649123],[0.03614035],[2.11649123],9.0,1.0
718,[1.89684211],[0.01586667],[-0.09565263],[0.0010386],[1.58912281],[1.4645614],[-0.71052632],-13.0,0.0
719,[0.66794872],[0.05305556],[0.04292735],[0.01269658],[-1.96623932],[1.57136752],[-0.07222222],2.0,1.0
720,[-2.895],[-0.04771667],[0.01661667],[0.08583333],[-1.44166667],[-0.02833333],[-1.96833333],5.0,1.0
721,[-1.00666667],[-0.02133333],[0.0056],[-0.00193333],[-0.31333333],[-0.64666667],[-1.33333333],16.0,1.0
722,[0.12573099],[0.02316082],[0.06264035],[-0.02236842],[-0.87748538],[0.68625731],[0.09269006],1.0,1.0
723,[0.03355263],[0.00590789],[0.00197697],[0.0799375],[-0.04539474],[1.30953947],[-1.73157895],8.0,1.0
724,[-1.39619048],[-0.02042857],[-0.02887619],[-0.05486667],[0.15904762],[-1.39714286],[2.70571429],-8.0,0.0
725,[-1.35112782],[-0.05714286],[-0.00599499],[-0.07605764],[-0.84912281],[-1.44837093],[-2.42280702],4.0,1.0
726,[0.33519737],[0.00202961],[-0.02241447],[-0.063],[-0.56710526],[-0.09078947],[0.47532895],-9.0,0.0
727,[-2.83881579],[-0.06275],[-0.04597697],[-0.13725329],[-1.29671053],[-2.77269737],[-0.88947368],13.0,1.0
728,[-2.07666667],[-0.00795],[0.05064167],[0.02869167],[-0.36083333],[1.10166667],[2.46666667],-7.0,0.0
729,[-0.95727554],[-0.01060062],[0.08429721],[-0.08525077],[-2.13467492],[0.58266254],[-2.02136223],-23.0,0.0
730,[-0.09444444],[-0.03067778],[-0.08204444],[-0.0036],[0.10111111],[-0.15777778],[-1.37555556],8.0,1.0
731,[-2.835],[-0.03525],[0.02461667],[0.0851],[-0.68166667],[1.27166667],[0.79166667],-15.0,0.0
732,[0.6699095],[0.04802941],[0.05409729],[0.01986652],[-1.2561086],[-0.40837104],[-0.57647059],4.0,1.0
733,[1.10526316],[0.00336513],[-0.06363158],[0.05928289],[1.09769737],[2.03322368],[2.51940789],-11.0,0.0
734,[3.55164474],[0.08311513],[-0.03851974],[-0.00478289],[-0.19934211],[2.61052632],[0.41809211],28.0,1.0
735,[1.34444444],[0.0155],[-0.05827778],[-0.04411111],[-0.25555556],[3.10555556],[1.36666667],-36.0,0.0
736,[-0.94666667],[-0.00886667],[0.0136],[-0.00266667],[0.44666667],[0.65333333],[1.42666667],-23.0,0.0
737,[2.74222222],[0.071],[-0.00932222],[0.12086667],[1.08777778],[2.26222222],[-0.08111111],-1.0,0.0
738,[1.07894737],[0.00715461],[0.01921053],[-0.031875],[0.87664474],[-0.17203947],[1.68782895],-15.0,0.0
739,[-0.63894737],[0.01929123],[-0.02961053],[0.09206667],[0.16877193],[0.30912281],[1.16842105],-6.0,0.0
740,[-1.11411765],[-0.02950588],[0.07315686],[-0.04388235],[-1.8427451],[-1.93137255],[-3.95960784],-10.0,0.0
741,[0.05982906],[-0.01188889],[0.04707265],[-0.05414103],[1.41068376],[0.08418803],[1.32222222],30.0,1.0
742,[3.09789474],[0.0647193],[-0.0265614],[0.01710877],[0.80982456],[1.04385965],[0.29017544],9.0,1.0
743,[1.58947368],[0.02289474],[-0.02268421],[0.13168421],[2.38947368],[0.43157895],[0.95789474],-16.0,0.0
744,[2.155],[0.02598333],[-0.00988333],[-0.10503333],[1.06833333],[-1.05166667],[-0.43833333],18.0,1.0
745,[0.12222222],[0.02011111],[-0.04294444],[0.08711111],[1.02222222],[-1.55555556],[0.97777778],-7.0,0.0
746,[-2.71203008],[-0.03485714],[0.08725815],[-0.07436341],[-2.25087719],[-1.78847118],[-0.65614035],-20.0,0.0
747,[-0.59154412],[-0.00171691],[0.07356618],[0.04794118],[-0.05735294],[-0.68970588],[0.23272059],-10.0,0.0
748,[0.51375],[0.0308625],[-0.00395833],[-0.022625],[-0.24916667],[2.86666667],[2.88791667],8.0,1.0
749,[3.32350877],[0.07153333],[-0.0753193],[0.0620386],[1.31578947],[0.93789474],[1.51614035],14.0,1.0
750,[-1.40416667],[-0.02133333],[0.08222917],[0.0165625],[-0.575],[2.10208333],[-0.43333333],-13.0,0.0
751,[1.11637427],[0.00699708],[-0.07879825],[0.03915789],[0.05116959],[2.5505848],[2.40204678],-17.0,0.0
752,[-0.37660819],[-0.02482456],[0.10526608],[-0.095],[-0.93654971],[-1.20467836],[-0.77397661],18.0,1.0
753,[1.85128205],[0.07558333],[0.02499679],[0.06818269],[-1.35096154],[-1.98141026],[-1.16666667],-13.0,0.0
754,[-2.07983193],[-0.02256303],[0.14887115],[-0.02792997],[-1.99607843],[-0.77422969],[-1.71960784],-17.0,0.0
755,[-0.50694444],[-0.04236111],[-0.15429861],[-0.03060417],[0.51527778],[-0.20486111],[0.27777778],-12.0,0.0
756,[-0.04375],[-0.00374583],[-0.09269167],[-0.01006667],[-0.19833333],[1.17166667],[0.39708333],-18.0,0.0
757,[-0.10952381],[0.01859226],[0.04785714],[0.002875],[-0.56636905],[-0.16755952],[0.16279762],-1.0,0.0
758,[0.20289474],[0.01700263],[-0.00994474],[0.10294211],[-0.63184211],[1.01552632],[-1.67815789],-19.0,0.0
759,[-1.21578947],[-0.03394737],[-0.06668421],[0.07436842],[1.04736842],[-1.03157895],[-1.66315789],14.0,1.0
760,[-3.06160991],[-0.05652941],[0.0071517],[-0.07237461],[-1.96656347],[-2.24365325],[-1.9130031],7.0,1.0
761,[1.72666667],[0.06546667],[0.06633333],[0.11793333],[0.32],[1.36666667],[0.31333333],6.0,1.0
762,[-1.05894737],[-0.01504211],[-0.05554386],[0.033],[0.7554386],[1.48245614],[0.27508772],-3.0,0.0
763,[0.48263889],[0.03511806],[0.04754167],[-0.003625],[-0.83472222],[1.03888889],[1.04236111],21.0,1.0
764,[1.00350877],[0.03044444],[-0.06294152],[0.08521637],[1.84356725],[-0.98654971],[0.66169591],-4.0,0.0
765,[0.43987854],[0.04455263],[0.02240688],[0.09596559],[-1.65951417],[1.01639676],[0.96315789],-8.0,0.0
766,[-4.14166667],[-0.06638333],[-0.01578333],[0.02623333],[-1.58833333],[-1.26833333],[1.37166667],16.0,1.0
767,[-1.25789474],[-0.03515789],[0.12526316],[-0.09310526],[-1.75789474],[-1.77368421],[-0.45789474],-7.0,0.0
768,[1.81666667],[0.03301667],[-0.009975],[0.01044167],[0.16083333],[-2.055],[-1.22],-7.0,0.0
769,[-0.13819444],[-0.03442361],[-0.17473611],[-0.01366667],[-0.09722222],[1.01388889],[-0.97847222],9.0,1.0
770,[1.20364146],[0.01880112],[-0.08468067],[0.03988235],[0.77703081],[0.78851541],[1.83389356],11.0,1.0
771,[-1.24934211],[-0.03985526],[-0.06866118],[-0.00556908],[1.09276316],[-2.34111842],[0.06842105],14.0,1.0
772,[3.18187135],[0.08166667],[-0.06126608],[0.15231579],[2.27865497],[2.66783626],[3.39502924],18.0,1.0
773,[0.48],[0.0468],[0.03393333],[0.05833333],[0.17333333],[0.12666667],[3.65333333],-7.0,0.0
774,[-1.09005848],[-0.01078655],[-0.00404386],[0.052],[0.16988304],[-0.34532164],[-1.57046784],5.0,1.0
775,[0.00196078],[-0.00502614],[0.01116993],[0.00716993],[0.71013072],[-1.97973856],[-0.50424837],-18.0,0.0
776,[2.09192982],[0.03258596],[-0.03289825],[0.06009123],[-0.22105263],[1.36947368],[1.88982456],-3.0,0.0
777,[0.33833333],[-0.00703333],[9.16666667e-05],[-0.115475],[0.9075],[1.00333333],[0.78166667],-5.0,0.0
778,[-2.36561404],[-0.04617544],[-0.09594386],[-0.02586667],[-0.15122807],[-1.05754386],[0.85508772],-4.0,0.0
779,[-0.58555556],[0.02141111],[0.09677778],[-0.01633333],[0.28555556],[0.37777778],[1.72888889],19.0,1.0
780,[0.59047619],[0.01997143],[-0.00320952],[0.02393333],[0.67904762],[0.92285714],[1.77238095],-27.0,0.0
781,[4.06315789],[0.092],[-0.08126316],[0.15042105],[3.1],[3.23684211],[3.07894737],12.0,1.0
782,[0.22538462],[-0.06763333],[-0.07563846],[-0.09687436],[1.71179487],[0.87974359],[-1.3],-23.0,0.0
783,[3.05789474],[0.04436513],[-0.07089474],[0.01896711],[1.68190789],[1.05427632],[-0.50690789],11.0,1.0
784,[-1.12255639],[-0.01196241],[0.06457393],[0.0573208],[0.13859649],[-1.35689223],[0.30175439],9.0,1.0
785,[-1.2375],[-0.043875],[-0.074],[-0.007375],[0.4375],[-1.475],[-2.1375],-1.0,0.0
786,[-2.09916667],[-0.04228333],[-0.05192083],[-0.04887083],[0.4875],[-0.47375],[0.67333333],27.0,1.0
787,[2.5496732],[0.06937255],[-0.12287908],[0.10588235],[2.02385621],[1.65359477],[4.45849673],-7.0,0.0
788,[0.25438596],[0.00471345],[-0.06232164],[0.00788889],[-0.08567251],[2.76023392],[-0.20380117],-17.0,0.0
789,[-1.14526316],[-0.0237193],[0.01929825],[-0.05742456],[-0.22561404],[-2.02280702],[-3.31649123],-5.0,0.0
790,[1.77605263],[0.02020789],[-0.08016053],[-0.0521],[1.43710526],[0.21078947],[-0.51657895],5.0,1.0
791,[1.18137255],[0.02755392],[-0.02910049],[0.04831618],[-0.09485294],[-1.57303922],[-0.59019608],-4.0,0.0
792,[1.27555556],[0.03538889],[0.0919],[0.07786667],[0.32111111],[0.71222222],[-2.42555556],20.0,1.0
793,[2.31684211],[0.0502],[-0.0697193],[0.06010526],[1.00245614],[0.29122807],[0.18280702],-11.0,0.0
794,[1.15913462],[-0.0024375],[-0.05366346],[-0.06043269],[0.87596154],[2.57307692],[2.48125],3.0,1.0
795,[2.35789474],[0.04298596],[-0.01982807],[-0.00209123],[0.43649123],[-0.03614035],[-2.11649123],-11.0,0.0
796,[0.10952381],[-0.01859226],[-0.04785714],[-0.002875],[0.56636905],[0.16755952],[-0.16279762],-3.0,0.0
797,[0.22807018],[0.00850292],[0.02052047],[-0.08326901],[-0.30672515],[0.55497076],[-1.03538012],-7.0,0.0
798,[-1.97238095],[-0.01439048],[0.08131429],[0.01401905],[-0.46666667],[0.51047619],[0.90666667],-15.0,0.0
799,[1.43555556],[0.03986667],[-0.04972222],[0.062],[0.18111111],[-0.27777778],[0.49888889],10.0,1.0
800,[-2.80526316],[-0.05684211],[-0.044],[-0.05731579],[-1.34210526],[-1.46315789],[-2.62105263],10.0,1.0
801,[-0.72973856],[-0.03614052],[-0.10116993],[0.03427451],[-0.15457516],[0.32418301],[-0.74575163],-15.0,0.0
802,[-0.37894737],[-0.00577544],[-0.07027719],[0.05293333],[0.36877193],[1.26245614],[-0.07824561],-28.0,0.0
803,[-0.33047619],[-0.0450381],[-0.03745714],[-0.06306667],[-0.47904762],[0.03047619],[-3.01904762],30.0,1.0
804,[-1.02571429],[-0.00552381],[0.06771429],[0.01668571],[-0.91333333],[-0.14285714],[-0.52],-14.0,0.0
805,[-1.60625],[-0.0518125],[-0.0535625],[-0.0243125],[1.05],[-2.69375],[-0.88125],-7.0,0.0
806,[2.11125],[0.0222375],[-0.102575],[-0.1151],[0.87],[0.12],[-0.04125],1.0,1.0
807,[1.41140351],[0.0310307],[0.00258991],[-0.02778289],[0.30855263],[-2.99780702],[-2.12982456],-15.0,0.0
808,[-0.67649573],[0.03755556],[0.10120513],[0.05680769],[-1.71068376],[-1.53418803],[-1.43888889],8.0,1.0
809,[1.09411765],[0.03739338],[-0.03682353],[0.04275735],[0.21066176],[0.62095588],[1.99669118],7.0,1.0
810,[2.62],[0.05088889],[0.03362222],[0.03375556],[0.06555556],[3.81777778],[-1.05888889],-3.0,0.0
811,[0.84982456],[0.00242807],[-0.01674035],[0.04330175],[0.60526316],[-1.86736842],[-0.60491228],1.0,1.0
812,[3.94911765],[0.06475588],[-0.09777353],[-0.04121765],[2.52441176],[0.65970588],[3.16794118],8.0,1.0
813,[0.33519737],[0.00202961],[-0.02241447],[-0.063],[-0.56710526],[-0.09078947],[0.47532895],-12.0,0.0
814,[0.37894737],[0.00577544],[0.07027719],[-0.05293333],[-0.36877193],[-1.26245614],[0.07824561],8.0,1.0
815,[-1.58947368],[-0.02289474],[0.02268421],[-0.13168421],[-2.38947368],[-0.43157895],[-0.95789474],-12.0,0.0
816,[-1.01555556],[-0.00553333],[0.07565556],[-0.00293333],[-0.76777778],[-0.89555556],[0.39444444],-14.0,0.0
817,[1.30666667],[0.03113333],[0.0404],[0.05886667],[0.90666667],[2.54],[-0.58],-14.0,0.0
818,[0.34957983],[0.02167227],[0.08010644],[-0.0019888],[-0.28431373],[0.45518207],[1.25686275],13.0,1.0
819,[3.05789474],[0.04436513],[-0.07089474],[0.01896711],[1.68190789],[1.05427632],[-0.50690789],8.0,1.0
820,[-2.2273183],[-0.06090476],[0.05819549],[-0.06410526],[-2.06817043],[-1.43408521],[-2.3085213],14.0,1.0
821,[-1.09930556],[-0.00945139],[0.10073611],[0.00629167],[0.53472222],[-2.48888889],[-1.15902778],-2.0,0.0
822,[-1.65205128],[0.01196667],[0.05530513],[0.03587436],[-1.43846154],[-0.35307692],[-0.92666667],-5.0,0.0
823,[2.52777778],[0.03802778],[-0.07620833],[0.011375],[0.35972222],[-0.44722222],[0.27222222],-11.0,0.0
824,[1.14526316],[0.0237193],[-0.01929825],[0.05742456],[0.22561404],[2.02280702],[3.31649123],5.0,1.0
825,[1.86928571],[0.04219286],[0.05109762],[-0.06914762],[0.52833333],[-0.11452381],[1.44833333],-5.0,0.0
826,[0.19254902],[0.00162745],[0.11355686],[0.01498431],[-0.93607843],[0.60862745],[-4.53960784],13.0,1.0
827,[1.59222222],[-7.77777778e-05],[-0.10237778],[0.01826667],[0.02777778],[0.26888889],[-0.39555556],7.0,1.0
828,[0.30375],[-0.02132083],[0.052025],[-0.02906667],[0.39833333],[-0.21833333],[-1.64375],-17.0,0.0
829,[-0.37894737],[-0.00577544],[-0.07027719],[0.05293333],[0.36877193],[1.26245614],[-0.07824561],-7.0,0.0
830,[2.33684211],[0.0423125],[-0.10605263],[0.06123026],[2.63453947],[1.60164474],[2.14572368],-11.0,0.0
831,[1.0925],[0.02095],[0.05752083],[0.0469375],[-0.80083333],[-0.17291667],[-2.00666667],-16.0,0.0
832,[1.60233918],[0.01238596],[0.01516082],[-0.04415789],[-0.13128655],[0.02163743],[-2.96871345],-7.0,0.0
833,[-0.35690789],[-0.01195724],[0.01509868],[-0.01874342],[-0.04276316],[-0.35263158],[-0.94967105],-10.0,0.0
834,[-0.63894737],[0.01929123],[-0.02961053],[0.09206667],[0.16877193],[0.30912281],[1.16842105],-5.0,0.0
835,[1.31529412],[0.01472941],[0.00439216],[-0.01794118],[-0.13098039],[-0.70196078],[-0.98313725],16.0,1.0
836,[1.59901316],[0.04211513],[-0.03125658],[0.03553289],[-0.78355263],[3.58947368],[3.44440789],-10.0,0.0
837,[1.34444444],[0.0155],[-0.05827778],[-0.04411111],[-0.25555556],[3.10555556],[1.36666667],12.0,1.0
838,[-0.14952381],[-0.0017619],[0.00352381],[0.00473333],[0.30571429],[-0.15714286],[-0.63428571],-6.0,0.0
839,[0.85],[0.06127778],[0.04705556],[0.04566667],[0.46666667],[0.1],[2.22777778],21.0,1.0
840,[-1.97894737],[-0.03721053],[0.09010526],[-0.05084211],[-0.80526316],[-1.22631579],[2.19473684],-40.0,0.0
841,[1.53095238],[0.04922619],[0.05100595],[0.04632738],[-0.37916667],[-1.11785714],[0.66666667],-9.0,0.0
842,[-0.43964912],[-0.01066667],[0.05194386],[-0.03144912],[-1.19087719],[-0.40561404],[-3.47614035],-20.0,0.0
843,[1.59309211],[0.0371875],[-0.14767763],[0.03010526],[1.19078947],[1.68289474],[0.93322368],-14.0,0.0
844,[2.20661765],[0.05045588],[-0.01563603],[0.09081985],[1.04191176],[1.75845588],[1.95294118],-1.0,0.0
845,[0.41356275],[0.04834211],[0.10524899],[0.00480769],[-1.8805668],[-1.1888664],[0.13157895],3.0,1.0
846,[1.18333333],[0.02252778],[-0.01793056],[0.05548611],[0.61527778],[-3.55277778],[-1.09444444],2.0,1.0
847,[0.44],[0.02644583],[-0.0104],[0.06019167],[1.04541667],[0.13708333],[2.85625],-20.0,0.0
848,[-0.08952381],[0.01070476],[0.01152381],[0.004],[1.06571429],[1.14285714],[2.12571429],-12.0,0.0
849,[-1.51970588],[-0.02052059],[0.02900882],[0.06715882],[-0.81264706],[0.56970588],[-0.19147059],17.0,1.0
850,[1.22434211],[0.02925],[-0.12724013],[0.01316776],[1.80328947],[0.46414474],[2.18947368],-7.0,0.0
851,[2.09192982],[0.03258596],[-0.03289825],[0.06009123],[-0.22105263],[1.36947368],[1.88982456],-8.0,0.0
852,[1.97894737],[0.03721053],[-0.09010526],[0.05084211],[0.80526316],[1.22631579],[-2.19473684],12.0,1.0
853,[1.58947368],[0.02289474],[-0.02268421],[0.13168421],[2.38947368],[0.43157895],[0.95789474],13.0,1.0
854,[0.60036765],[-0.00135662],[-0.06919853],[0.06650735],[2.09191176],[-0.93529412],[1.07169118],-22.0,0.0
855,[-2.74222222],[-0.071],[0.00932222],[-0.12086667],[-1.08777778],[-2.26222222],[0.08111111],-20.0,0.0
856,[0.98571429],[-0.01483036],[-0.11204762],[-0.01482738],[1.78541667],[0.15327381],[-0.27708333],-8.0,0.0
857,[-0.47339181],[-0.03645322],[-0.15232164],[0.04933333],[0.46988304],[1.10467836],[-1.45380117],-5.0,0.0
858,[0.04375],[0.00374583],[0.09269167],[0.01006667],[0.19833333],[-1.17166667],[-0.39708333],-4.0,0.0
859,[-0.12063492],[0.01496032],[0.06302381],[0.023],[0.48015873],[-0.68492063],[0.28015873],2.0,1.0
860,[1.37333333],[0.03222222],[0.00122222],[-0.02584444],[-0.08111111],[2.57777778],[2.28111111],9.0,1.0
861,[-0.37660819],[-0.02482456],[0.10526608],[-0.095],[-0.93654971],[-1.20467836],[-0.77397661],6.0,1.0
862,[-1.71520468],[-0.04605556],[-0.03995614],[-0.10931579],[-1.5119883],[-1.11783626],[-1.0505848],-28.0,0.0
863,[-1.00154799],[-0.03547059],[0.07411146],[-0.07804644],[-1.13343653],[-0.99318885],[-1.16594427],-20.0,0.0
864,[-3.19473684],[-0.07115789],[0.02342105],[0.02352632],[0.24210526],[-2.25789474],[0.53157895],-5.0,0.0
865,[-3.34875],[-0.0661125],[0.028575],[0.107725],[-0.4325],[-1.595],[-2.09625],-8.0,0.0
866,[-1.00666667],[-0.02133333],[0.0056],[-0.00193333],[-0.31333333],[-0.64666667],[-1.33333333],-6.0,0.0
867,[-0.11954887],[-0.01819549],[-0.04841604],[-0.07411028],[0.6877193],[-1.87994987],[-2.79649123],18.0,1.0
868,[0.63894737],[-0.01929123],[0.02961053],[-0.09206667],[-0.16877193],[-0.30912281],[-1.16842105],-32.0,0.0
869,[-1.20364146],[-0.01880112],[0.08468067],[-0.03988235],[-0.77703081],[-0.78851541],[-1.83389356],-2.0,0.0
870,[0.70538462],[-0.02083333],[-0.04170513],[-0.03854103],[1.88512821],[1.00641026],[2.35333333],-23.0,0.0
871,[-0.74375],[-0.005125],[-0.041625],[-0.031125],[-1.44375],[0.08125],[-1.2125],-6.0,0.0
872,[-2.39916667],[-0.05208333],[-0.09792083],[-0.10580417],[-0.10583333],[-2.36708333],[2.58666667],-13.0,0.0
873,[0.12026144],[0.02513725],[-0.05411438],[0.07994118],[0.3120915],[0.42418301],[1.48202614],7.0,1.0
874,[1.42666667],[0.05566667],[0.02033333],[0.061],[-0.27333333],[-0.52666667],[2.22666667],14.0,1.0
875,[0.61666667],[-0.02566667],[-0.14827778],[-0.00266667],[0.3],[1.45],[0.11666667],-39.0,0.0
876,[-0.33519737],[-0.00202961],[0.02241447],[0.063],[0.56710526],[0.09078947],[-0.47532895],-21.0,0.0
877,[-2.31684211],[-0.0502],[0.0697193],[-0.06010526],[-1.00245614],[-0.29122807],[-0.18280702],1.0,1.0
878,[0.03461538],[0.04256667],[0.03497179],[0.05774103],[-1.51179487],[0.07358974],[0.05333333],-8.0,0.0
879,[1.47017544],[0.03866082],[0.00436257],[-0.06647953],[-1.13304094],[3.79181287],[1.45935673],6.0,1.0
880,[-0.45375],[-0.01839583],[0.01195833],[0.02189167],[1.00916667],[-1.56666667],[-0.12791667],4.0,1.0
881,[1.51970588],[0.02052059],[-0.02900882],[-0.06715882],[0.81264706],[-0.56970588],[0.19147059],12.0,1.0
882,[2.06561404],[0.03637544],[0.04994386],[-0.03106667],[-0.44210526],[-0.83578947],[1.05824561],-8.0,0.0
883,[-1.74631579],[-0.0418],[0.01154386],[-0.09031579],[-2.09754386],[-2.94561404],[-2.89614035],-15.0,0.0
884,[-4.15201238],[-0.08175851],[0.10771827],[-0.06172446],[-1.89256966],[-1.6752322],[-1.48978328],-30.0,0.0
885,[-0.98571429],[0.01483036],[0.11204762],[0.01482738],[-1.78541667],[-0.15327381],[0.27708333],11.0,1.0
886,[2.27238095],[0.02419048],[-0.03531429],[0.04291429],[1.06],[1.38285714],[-2.82],3.0,1.0
887,[-2.34795322],[-0.04594444],[0.1212193],[-0.04110526],[-1.5880117],[-2.11900585],[-2.02836257],4.0,1.0
888,[-0.4125],[-0.01168333],[-0.07225417],[-0.02700417],[0.41416667],[-0.04708333],[1.65333333],-18.0,0.0
889,[0.05982906],[-0.01188889],[0.04707265],[-0.05414103],[1.41068376],[0.08418803],[1.32222222],-16.0,0.0
890,[-2.40714286],[-0.0529881],[0.01318452],[-0.034375],[-0.83988095],[1.13214286],[-0.55238095],-42.0,0.0
891,[-1.7245614],[-0.03249708],[0.02778363],[-0.04295322],[-0.89093567],[1.53391813],[1.99093567],6.0,1.0
892,[2.895],[0.04771667],[-0.01661667],[-0.08583333],[1.44166667],[0.02833333],[1.96833333],16.0,1.0
893,[2.44222222],[0.0612],[-0.05532222],[0.06393333],[0.49444444],[0.36888889],[1.83222222],-9.0,0.0
894,[-2.33187135],[-0.02038889],[0.10832164],[-0.10664912],[-1.8119883],[-2.56783626],[-1.16725146],4.0,1.0
895,[-3.43095975],[-0.07970588],[0.14287616],[-0.10398762],[-2.84520124],[-2.22260062],[-4.14241486],-25.0,0.0
896,[-1.05894737],[-0.01504211],[-0.05554386],[0.033],[0.7554386],[1.48245614],[0.27508772],-30.0,0.0
897,[1.82904412],[0.04559191],[0.00043382],[-0.04056618],[-0.38014706],[2.16470588],[1.90477941],-8.0,0.0
898,[1.24210526],[0.03015789],[-0.01615789],[0.01678947],[-0.82631579],[3.23684211],[2.49473684],-16.0,0.0
899,[-1.53095238],[-0.04922619],[-0.05100595],[-0.04632738],[0.37916667],[1.11785714],[-0.66666667],7.0,1.0
900,[-0.89333333],[0.01457778],[0.03271111],[0.08417778],[0.25444444],[-2.45111111],[1.37222222],-17.0,0.0
901,[-1.09005848],[-0.01078655],[-0.00404386],[0.052],[0.16988304],[-0.34532164],[-1.57046784],5.0,1.0
902,[0.74],[0.02173333],[-0.00673333],[0.0192],[0.37333333],[1.08],[2.40666667],11.0,1.0
903,[-0.44711538],[-0.05425],[-0.10722596],[-0.08474519],[1.92596154],[-0.12067308],[1.6],-14.0,0.0
904,[1.39619048],[0.02042857],[0.02887619],[0.05486667],[-0.15904762],[1.39714286],[-2.70571429],-6.0,0.0
905,[-0.35690789],[-0.01195724],[0.01509868],[-0.01874342],[-0.04276316],[-0.35263158],[-0.94967105],-16.0,0.0
906,[-1.77605263],[-0.02020789],[0.08016053],[0.0521],[-1.43710526],[-0.21078947],[0.51657895],-15.0,0.0
907,[2.33187135],[0.02038889],[-0.10832164],[0.10664912],[1.8119883],[2.56783626],[1.16725146],-1.0,0.0
908,[1.73041667],[0.03434583],[0.07235833],[0.03193333],[0.125],[-0.745],[0.58291667],-7.0,0.0
909,[0.02],[-0.0078875],[-0.03633333],[0.001125],[1.63208333],[1.31041667],[1.96291667],-9.0,0.0
910,[2.1993808],[0.04075851],[-0.10045511],[0.10204025],[1.30835913],[2.65417957],[4.51609907],16.0,1.0
911,[2.94837093],[0.06295739],[-0.02303759],[0.02184211],[1.11553885],[0.88671679],[-0.34411028],-3.0,0.0
912,[0.54571429],[-0.04127619],[-0.10164762],[-0.07501905],[0.74],[0.01619048],[-3.13333333],-2.0,0.0
913,[3.61078431],[0.07178922],[-0.0978652],[0.07425735],[1.61691176],[-0.34362745],[2.38627451],25.0,1.0
914,[-0.03111111],[0.00425556],[0.0515],[0.019],[-0.58555556],[-1.82777778],[-1.84555556],24.0,1.0
915,[-0.63333333],[-0.01048889],[-0.00795556],[0.04504444],[0.45444444],[-1.49777778],[0.12555556],-15.0,0.0
916,[1.60625],[0.0518125],[0.0535625],[0.0243125],[-1.05],[2.69375],[0.88125],7.0,1.0
917,[-0.6699095],[-0.04802941],[-0.05409729],[-0.01986652],[1.2561086],[0.40837104],[0.57647059],-13.0,0.0
918,[-2.37684211],[-0.06266667],[0.0617193],[-0.05937193],[-1.76245614],[-1.59122807],[-2.94280702],3.0,1.0
919,[-2.03041667],[-0.04414583],[-0.11835833],[-0.08886667],[-0.71833333],[-1.14833333],[1.33041667],-9.0,0.0
