,Team,PER,TS%,3PAr,FTr,ORB%,AST%,TOV%,W
0,ATL,10.645000000000001,0.49395,0.33495,0.3571000000000001,3.9050000000000002,13.304999999999998,12.385000000000002,[43]
1,BOS,14.786666666666667,0.5603333333333335,0.35073333333333334,0.3308666666666667,5.493333333333334,14.573333333333329,11.01333333333333,[53]
2,BRK,12.514285714285714,0.5361428571428571,0.38604761904761903,0.28795238095238096,4.433333333333334,13.19047619047619,13.833333333333334,[20]
3,CHI,12.044444444444444,0.48933333333333334,0.3600555555555556,0.21000000000000002,4.405555555555555,12.31111111111111,11.094444444444445,[41]
4,CHO,12.421052631578945,0.514157894736842,0.2547894736842105,0.305,5.342105263157895,13.515789473684212,11.868421052631579,[36]
6,DAL,10.983333333333334,0.48691666666666666,0.3350416666666667,0.241625,4.8125,14.308333333333332,13.166666666666666,[33]
7,DEN,15.226315789473684,0.5710000000000001,0.29878947368421055,0.3623157894736842,6.684210526315789,14.978947368421053,14.489473684210527,[40]
8,DET,13.059999999999999,0.4948666666666667,0.2844,0.21293333333333336,5.173333333333332,13.206666666666667,10.7,[37]
9,GSW,14.594117647058823,0.5587058823529412,0.2371764705882353,0.3158823529411765,6.429411764705883,13.964705882352941,15.55294117647059,[67]
10,HOU,12.894444444444444,0.550611111111111,0.40711111111111115,0.25566666666666665,4.872222222222222,12.41111111111111,13.322222222222223,[55]
11,IND,12.75625,0.5161875,0.232375,0.242,4.7749999999999995,13.425,12.34375,[42]
12,LAC,13.48,0.5291999999999999,0.3103333333333333,0.272,4.586666666666667,12.033333333333333,11.593333333333334,[51]
13,LAL,13.511111111111111,0.5249444444444444,0.2588333333333333,0.253,5.172222222222222,13.861111111111112,13.438888888888888,[26]
14,MEM,12.164705882352942,0.514470588235294,0.3059411764705882,0.28994117647058826,4.7176470588235295,12.735294117647058,12.576470588235296,[43]
15,MIA,12.799999999999999,0.5199333333333332,0.3250666666666666,0.25206666666666666,4.973333333333333,12.253333333333334,11.946666666666667,[41]
16,MIL,11.163157894736843,0.4789999999999999,0.3800526315789473,0.21189473684210525,3.5842105263157897,11.742105263157896,11.410526315789474,[42]
17,MIN,12.3875,0.5082500000000001,0.2528125,0.2250625,5.3875,12.20625,13.6,[31]
18,NOP,12.834615384615384,0.5625000000000001,0.3600384615384615,0.3098076923076923,3.461538461538462,12.326923076923077,12.0,[34]
19,NYK,13.5,0.5213125000000001,0.274,0.273125,6.21875,13.34375,13.556250000000002,[31]
20,OKC,12.394736842105264,0.5179473684210527,0.33763157894736845,0.2138421052631579,5.121052631578947,11.310526315789472,11.036842105263158,[47]
21,ORL,10.442105263157895,0.4769473684210527,0.3448947368421053,0.2541578947368421,4.536842105263158,12.289473684210527,14.063157894736841,[29]
22,PHI,13.390476190476193,0.5399047619047619,0.3218571428571429,0.276,5.652380952380953,13.176190476190476,13.719047619047618,[28]
23,PHO,12.166666666666666,0.5094444444444445,0.31711111111111107,0.2971111111111111,5.427777777777778,10.755555555555555,12.072222222222221,[24]
24,POR,13.54,0.5416666666666665,0.31833333333333336,0.27126666666666666,5.346666666666668,13.333333333333334,14.353333333333333,[41]
25,SAC,13.63684210526316,0.5481052631578948,0.32147368421052636,0.2306315789473684,4.294736842105263,14.54736842105263,13.531578947368422,[32]
26,SAS,13.993749999999999,0.5600624999999999,0.306375,0.249375,4.3374999999999995,14.9,14.48125,[61]
27,UTA,14.486666666666668,0.5505333333333333,0.3047333333333333,0.2739333333333333,4.9,12.68,12.926666666666668,[51]
0,ATL,11.022727272727273,0.5448181818181819,0.4036818181818182,0.19536363636363632,4.509090909090909,12.7,15.686363636363636,[24]
1,BOS,12.090000000000002,0.4876499999999999,0.42844999999999994,0.2242,4.84,12.295,12.18,[55]
3,CHI,10.738095238095237,0.4811428571428572,0.3834285714285714,0.2172380952380952,3.5047619047619043,13.523809523809524,13.433333333333334,[27]
4,CHO,13.923529411764706,0.5371176470588236,0.3248823529411765,0.2908235294117647,5.405882352941177,12.194117647058823,10.86470588235294,[36]
5,CLE,13.4,0.550409090909091,0.35022727272727266,0.2983636363636364,4.1454545454545455,12.209090909090907,12.190909090909093,[50]
6,DAL,11.04782608695652,0.4919130434782609,0.3671304347826088,0.31717391304347825,4.6000000000000005,10.491304347826087,11.70434782608696,[24]
8,DET,11.354545454545455,0.5225454545454545,0.3184090909090909,0.19595454545454546,5.090909090909092,13.131818181818183,14.395454545454543,[39]
9,GSW,13.299999999999999,0.5529999999999999,0.2822352941176471,0.22770588235294117,4.935294117647058,14.041176470588235,13.235294117647058,[58]
10,HOU,9.091666666666667,0.4817916666666667,0.44566666666666666,0.22116666666666665,4.254166666666666,10.195833333333333,14.908333333333333,[65]
12,LAC,14.861904761904762,0.5607142857142856,0.2984761904761905,0.2661428571428572,4.7476190476190485,11.895238095238096,12.790476190476191,[42]
13,LAL,11.320833333333335,0.5139583333333334,0.34841666666666665,0.23129166666666667,4.141666666666667,13.549999999999999,14.862499999999999,[35]
14,MEM,13.858333333333334,0.5235416666666667,0.2816666666666667,0.2214583333333333,5.925,14.179166666666667,13.729166666666666,[22]
15,MIA,11.478947368421053,0.510421052631579,0.4338947368421053,0.20826315789473684,4.3578947368421055,11.684210526315788,11.536842105263158,[44]
16,MIL,12.8125,0.5377083333333333,0.3502083333333333,0.43766666666666665,5.120833333333334,12.670833333333334,13.3125,[44]
17,MIN,15.79375,0.5869374999999999,0.284375,0.23293750000000002,4.1,13.5875,8.806249999999999,[47]
18,NOP,10.756521739130436,0.49126086956521736,0.3039565217391304,0.195,5.326086956521739,14.121739130434783,12.139130434782608,[48]
19,NYK,10.980952380952381,0.5034285714285713,0.2610952380952381,0.22633333333333333,4.914285714285714,14.085714285714284,13.971428571428573,[29]
20,OKC,12.441176470588236,0.5409999999999999,0.3434117647058823,0.27282352941176474,4.847058823529412,11.564705882352943,12.529411764705882,[48]
