,boxscore,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr
62,201611040LAL,Golden State,GSW,97,LA Lakers,LAL,117,LA Lakers,LAL,Golden State,GSW
63,201611040MEM,LA Clippers,LAC,99,Memphis,MEM,88,LA Clippers,LAC,Memphis,MEM
64,201611040NOP,Phoenix,PHO,112,New Orleans,NOP,111,Phoenix,PHO,New Orleans,NOP
65,201611040TOR,Miami,MIA,87,Toronto,TOR,96,Toronto,TOR,Miami,MIA
66,201611040UTA,San Antonio,SAS,100,Utah,UTA,86,San Antonio,SAS,Utah,UTA
67,201611050ATL,Houston,HOU,97,Atlanta,ATL,112,Atlanta,ATL,Houston,HOU
68,201611050DET,Denver,DEN,86,Detroit,DET,103,Detroit,DET,Denver,DEN
69,201611050IND,Chicago,CHI,94,Indiana,IND,111,Indiana,IND,Chicago,CHI
70,201611050MIL,Sacramento,SAC,91,Milwaukee,MIL,117,Milwaukee,MIL,Sacramento,SAC
71,201611050OKC,Minnesota,MIN,92,Oklahoma City,OKC,112,Oklahoma City,OKC,Minnesota,MIN
72,201611050ORL,Washington,WAS,86,Orlando,ORL,88,Orlando,ORL,Washington,WAS
73,201611050PHI,Cleveland,CLE,102,Philadelphia,PHI,101,Cleveland,CLE,Philadelphia,PHI
74,201611060BOS,Denver,DEN,123,Boston,BOS,107,Denver,DEN,Boston,BOS
75,201611060DAL,Milwaukee,MIL,75,Dallas,DAL,86,Dallas,DAL,Milwaukee,MIL
76,201611060LAL,Phoenix,PHO,108,LA Lakers,LAL,119,LA Lakers,LAL,Phoenix,PHO
77,201611060MEM,Portland,POR,100,Memphis,MEM,94,Portland,POR,Memphis,MEM
78,201611060NYK,Utah,UTA,114,New York,NYK,109,Utah,UTA,New York,NYK
79,201611070CHI,Orlando,ORL,80,Chicago,CHI,112,Chicago,CHI,Orlando,ORL
80,201611070CHO,Indiana,IND,100,Charlotte,CHO,122,Charlotte,CHO,Indiana,IND
81,201611070GSW,New Orleans,NOP,106,Golden State,GSW,116,Golden State,GSW,New Orleans,NOP
82,201611070LAC,Detroit,DET,82,LA Clippers,LAC,114,LA Clippers,LAC,Detroit,DET
83,201611070OKC,Miami,MIA,85,Oklahoma City,OKC,97,Oklahoma City,OKC,Miami,MIA
84,201611070PHI,Utah,UTA,109,Philadelphia,PHI,84,Utah,UTA,Philadelphia,PHI
85,201611080BRK,Minnesota,MIN,110,Brooklyn,BRK,119,Brooklyn,BRK,Minnesota,MIN
86,201611080CLE,Atlanta,ATL,110,Cleveland,CLE,106,Atlanta,ATL,Cleveland,CLE
87,201611080LAL,Dallas,DAL,109,LA Lakers,LAL,97,Dallas,DAL,LA Lakers,LAL
88,201611080MEM,Denver,DEN,107,Memphis,MEM,108,Memphis,MEM,Denver,DEN
89,201611080POR,Phoenix,PHO,121,Portland,POR,124,Portland,POR,Phoenix,PHO
90,201611090ATL,Chicago,CHI,107,Atlanta,ATL,115,Atlanta,ATL,Chicago,CHI
91,201611090CHO,Utah,UTA,98,Charlotte,CHO,104,Charlotte,CHO,Utah,UTA
92,201611090GSW,Dallas,DAL,95,Golden State,GSW,116,Golden State,GSW,Dallas,DAL
93,201611090IND,Philadelphia,PHI,115,Indiana,IND,122,Indiana,IND,Philadelphia,PHI
94,201611090LAC,Portland,POR,80,LA Clippers,LAC,111,LA Clippers,LAC,Portland,POR
95,201611090NYK,Brooklyn,BRK,96,New York,NYK,110,New York,NYK,Brooklyn,BRK
96,201611090OKC,Toronto,TOR,112,Oklahoma City,OKC,102,Toronto,TOR,Oklahoma City,OKC
97,201611090ORL,Minnesota,MIN,123,Orlando,ORL,107,Minnesota,MIN,Orlando,ORL
98,201611090PHO,Detroit,DET,100,Phoenix,PHO,107,Phoenix,PHO,Detroit,DET
99,201611090SAS,Houston,HOU,101,San Antonio,SAS,99,Houston,HOU,San Antonio,SAS
100,201611100DEN,Golden State,GSW,125,Denver,DEN,101,Golden State,GSW,Denver,DEN
101,201611100MIA,Chicago,CHI,98,Miami,MIA,95,Chicago,CHI,Miami,MIA
102,201611100MIL,New Orleans,NOP,112,Milwaukee,MIL,106,New Orleans,NOP,Milwaukee,MIL
103,201611110BOS,New York,NYK,87,Boston,BOS,115,Boston,BOS,New York,NYK
104,201611110CHO,Toronto,TOR,113,Charlotte,CHO,111,Toronto,TOR,Charlotte,CHO
105,201611110OKC,LA Clippers,LAC,110,Oklahoma City,OKC,108,LA Clippers,LAC,Oklahoma City,OKC
106,201611110ORL,Utah,UTA,87,Orlando,ORL,74,Utah,UTA,Orlando,ORL
107,201611110PHI,Indiana,IND,105,Philadelphia,PHI,109,Philadelphia,PHI,Indiana,IND
108,201611110POR,Sacramento,SAC,120,Portland,POR,122,Portland,POR,Sacramento,SAC
109,201611110SAS,Detroit,DET,86,San Antonio,SAS,96,San Antonio,SAS,Detroit,DET
110,201611120ATL,Philadelphia,PHI,96,Atlanta,ATL,117,Atlanta,ATL,Philadelphia,PHI
111,201611120CHI,Washington,WAS,95,Chicago,CHI,106,Chicago,CHI,Washington,WAS
112,201611120DEN,Detroit,DET,106,Denver,DEN,95,Detroit,DET,Denver,DEN
113,201611120HOU,San Antonio,SAS,106,Houston,HOU,100,San Antonio,SAS,Houston,HOU
114,201611120IND,Boston,BOS,105,Indiana,IND,99,Boston,BOS,Indiana,IND
115,201611120MIA,Utah,UTA,102,Miami,MIA,91,Utah,UTA,Miami,MIA
116,201611120MIL,Memphis,MEM,96,Milwaukee,MIL,106,Milwaukee,MIL,Memphis,MEM
117,201611120MIN,LA Clippers,LAC,119,Minnesota,MIN,105,LA Clippers,LAC,Minnesota,MIN
118,201611120NOP,LA Lakers,LAL,126,New Orleans,NOP,99,LA Lakers,LAL,New Orleans,NOP
119,201611120PHO,Brooklyn,BRK,122,Phoenix,PHO,104,Brooklyn,BRK,Phoenix,PHO
