,boxscore,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr
0,201810160BOS,Philadelphia,PHI,87,Boston,BOS,105,Boston,BOS,Philadelphia,PHI
1,201810170CHO,Milwaukee,MIL,113,Charlotte,CHO,112,Milwaukee,MIL,Charlotte,CHO
2,201810170DET,Brooklyn,BRK,100,Detroit,DET,103,Detroit,DET,Brooklyn,BRK
3,201810170HOU,New Orleans,NOP,131,Houston,HOU,112,New Orleans,NOP,Houston,HOU
4,201810170IND,Memphis,MEM,83,Indiana,IND,111,Indiana,IND,Memphis,MEM
5,201810170LAC,Denver,DEN,107,LA Clippers,LAC,98,Denver,DEN,LA Clippers,LAC
6,201810170NYK,Atlanta,ATL,107,New York,NYK,126,New York,NYK,Atlanta,ATL
7,201810170ORL,Miami,MIA,101,Orlando,ORL,104,Orlando,ORL,Miami,MIA
8,201810170PHO,Dallas,DAL,100,Phoenix,PHO,121,Phoenix,PHO,Dallas,DAL
9,201810170SAC,Utah,UTA,123,Sacramento,SAC,117,Utah,UTA,Sacramento,SAC
10,201810170SAS,Minnesota,MIN,108,San Antonio,SAS,112,San Antonio,SAS,Minnesota,MIN
11,201810180PHI,Chicago,CHI,108,Philadelphia,PHI,127,Philadelphia,PHI,Chicago,CHI
12,201810180POR,LA Lakers,LAL,119,Portland,POR,128,Portland,POR,LA Lakers,LAL
13,201810190BRK,New York,NYK,105,Brooklyn,BRK,107,Brooklyn,BRK,New York,NYK
14,201810190LAC,Oklahoma City,OKC,92,LA Clippers,LAC,108,LA Clippers,LAC,Oklahoma City,OKC
15,201810190MEM,Atlanta,ATL,117,Memphis,MEM,131,Memphis,MEM,Atlanta,ATL
16,201810190MIL,Indiana,IND,101,Milwaukee,MIL,118,Milwaukee,MIL,Indiana,IND
17,201810190MIN,Cleveland,CLE,123,Minnesota,MIN,131,Minnesota,MIN,Cleveland,CLE
18,201810190NOP,Sacramento,SAC,129,New Orleans,NOP,149,New Orleans,NOP,Sacramento,SAC
19,201810190ORL,Charlotte,CHO,120,Orlando,ORL,88,Charlotte,CHO,Orlando,ORL
20,201810190TOR,Boston,BOS,101,Toronto,TOR,113,Toronto,TOR,Boston,BOS
21,201810200CHI,Detroit,DET,118,Chicago,CHI,116,Detroit,DET,Chicago,CHI
22,201810200DAL,Minnesota,MIN,136,Dallas,DAL,140,Dallas,DAL,Minnesota,MIN
23,201810200DEN,Phoenix,PHO,91,Denver,DEN,119,Denver,DEN,Phoenix,PHO
24,201810200IND,Brooklyn,BRK,112,Indiana,IND,132,Indiana,IND,Brooklyn,BRK
25,201810200LAL,Houston,HOU,124,LA Lakers,LAL,115,Houston,HOU,LA Lakers,LAL
26,201810200MIA,Charlotte,CHO,113,Miami,MIA,112,Charlotte,CHO,Miami,MIA
27,201810200NYK,Boston,BOS,103,New York,NYK,101,Boston,BOS,New York,NYK
28,201810200PHI,Orlando,ORL,115,Philadelphia,PHI,116,Philadelphia,PHI,Orlando,ORL
29,201810200POR,San Antonio,SAS,108,Portland,POR,121,Portland,POR,San Antonio,SAS
30,201810210CLE,Atlanta,ATL,133,Cleveland,CLE,111,Atlanta,ATL,Cleveland,CLE
31,201810210DEN,Golden State,GSW,98,Denver,DEN,100,Denver,DEN,Golden State,GSW
32,201810210LAC,Houston,HOU,112,LA Clippers,LAC,115,LA Clippers,LAC,Houston,HOU
33,201810220BOS,Orlando,ORL,93,Boston,BOS,90,Orlando,ORL,Boston,BOS
34,201810220DAL,Chicago,CHI,109,Dallas,DAL,115,Dallas,DAL,Chicago,CHI
35,201810220GSW,Phoenix,PHO,103,Golden State,GSW,123,Golden State,GSW,Phoenix,PHO
36,201810220LAL,San Antonio,SAS,143,LA Lakers,LAL,142,San Antonio,SAS,LA Lakers,LAL
37,201810220MIL,New York,NYK,113,Milwaukee,MIL,124,Milwaukee,MIL,New York,NYK
38,201810220MIN,Indiana,IND,91,Minnesota,MIN,101,Minnesota,MIN,Indiana,IND
39,201810220POR,Washington,WAS,125,Portland,POR,124,Washington,WAS,Portland,POR
40,201810220TOR,Charlotte,CHO,106,Toronto,TOR,127,Toronto,TOR,Charlotte,CHO
41,201810230DEN,Sacramento,SAC,112,Denver,DEN,126,Denver,DEN,Sacramento,SAC
42,201810230DET,Philadelphia,PHI,132,Detroit,DET,133,Detroit,DET,Philadelphia,PHI
