game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
21600781,2017-02-07,POR @ DAL,DAL,t,L,20,32,0.385,240,37,75,0.493,12,28,0.429,27,32,1,2,28,30,16,6,6,7,22,113,POR,2016,Regular Season,2016-17
21600381,2016-12-14,DET @ DAL,DAL,t,L,6,19,0.24,240,32,78,0.41,8,25,0.32,13,16,1,6,24,30,19,13,3,11,22,85,DET,2016,Regular Season,2016-17
21600296,2016-12-03,CHI @ DAL,DAL,t,W,4,15,0.211,240,40,87,0.46,13,31,0.419,14,18,1,13,29,42,31,11,2,10,19,107,CHI,2016,Regular Season,2016-17
21600250,2016-11-27,NOP @ DAL,DAL,t,W,3,13,0.188,240,32,77,0.416,10,27,0.37,17,20,1,11,35,46,19,7,3,12,18,91,NOP,2016,Regular Season,2016-17
21601198,2017-04-09,OKC @ DEN,DEN,t,L,38,42,0.475,240,40,84,0.476,11,34,0.324,14,15,1,4,38,42,22,6,4,12,16,105,OKC,2016,Regular Season,2016-17
21601064,2017-03-22,CLE @ DEN,DEN,t,W,34,37,0.479,240,51,96,0.531,11,26,0.423,13,13,1,10,34,44,35,7,0,6,16,126,CLE,2016,Regular Season,2016-17
21601034,2017-03-18,HOU @ DEN,DEN,t,L,33,36,0.478,240,38,89,0.427,10,31,0.323,19,30,1,13,32,45,28,9,3,13,24,105,HOU,2016,Regular Season,2016-17
21600998,2017-03-13,LAL @ DEN,DEN,t,W,32,35,0.478,240,45,84,0.536,17,38,0.447,22,25,1,6,36,42,36,9,7,15,18,129,LAl,2016,Regular Season,2016-17
21600752,2017-02-03,MIL @ DEN,DEN,t,W,22,27,0.449,240,40,89,0.449,9,28,0.321,32,44,1,18,30,48,31,8,5,14,13,121,MIL,2016,Regular Season,2016-17
21600678,2017-01-24,UTA @ DEN,DEN,t,W,19,25,0.432,240,35,76,0.461,10,26,0.385,23,31,1,7,36,43,28,7,6,14,15,103,UTA,2016,Regular Season,2016-17
21600290,2016-12-02,HOU @ DEN,DEN,t,L,7,12,0.368,240,46,104,0.442,9,31,0.29,9,16,1,24,30,54,22,5,4,16,20,110,HOU,2016,Regular Season,2016-17
21601132,2017-03-31,SAC @ NOP,NOP,t,W,33,43,0.434,240,46,95,0.484,10,33,0.303,15,19,1,10,35,45,28,16,12,12,13,117,SAC,2016,Regular Season,2016-17
21600631,2017-01-18,ORL @ NOP,NOP,t,W,17,26,0.395,240,46,93,0.495,15,36,0.417,11,15,1,6,39,45,28,11,5,8,13,118,ORL,2016,Regular Season,2016-17
21600433,2016-12-21,OKC @ NOP,NOP,t,L,10,21,0.323,240,42,88,0.477,8,20,0.4,18,23,1,6,27,33,25,4,3,9,18,110,OKC,2016,Regular Season,2016-17
21600222,2016-11-23,MIN @ NOP,NOP,t,W,6,10,0.375,240,45,83,0.542,9,24,0.375,18,23,1,4,41,45,27,10,6,17,21,117,MIN,2016,Regular Season,2016-17
21600148,2016-11-14,BOS @ NOP,NOP,t,W,2,9,0.182,240,35,79,0.443,6,21,0.286,30,36,1,8,38,46,16,9,4,16,17,106,BOS,2016,Regular Season,2016-17
21601222,2017-04-12,BKN @ CHI,CHI,t,W,41,41,0.5,240,41,95,0.432,14,30,0.467,16,21,1,14,48,62,28,15,4,12,18,112,BRK,2016,Regular Season,2016-17
21600624,2017-01-17,DAL @ CHI,CHI,t,L,21,22,0.488,240,37,82,0.451,6,14,0.429,18,22,1,11,32,43,23,6,3,13,22,98,DAL,2016,Regular Season,2016-17
21600393,2016-12-16,MIL @ CHI,CHI,t,L,13,13,0.5,240,28,92,0.304,5,21,0.238,8,15,1,19,31,50,17,7,2,12,14,69,MIL,2016,Regular Season,2016-17
21600370,2016-12-13,MIN @ CHI,CHI,t,L,13,11,0.542,240,38,87,0.437,4,15,0.267,14,19,1,13,29,42,20,7,6,9,16,94,MIN,2016,Regular Season,2016-17
21600336,2016-12-08,SAS @ CHI,CHI,t,W,12,10,0.545,240,35,80,0.438,4,17,0.235,21,27,1,11,40,51,24,7,5,20,13,95,SAS,2016,Regular Season,2016-17
21600308,2016-12-05,POR @ CHI,CHI,t,L,11,9,0.55,240,35,83,0.422,7,23,0.304,33,38,1,15,35,50,16,8,11,15,17,110,POR,2016,Regular Season,2016-17
21600073,2016-11-04,NYK @ CHI,CHI,t,L,3,2,0.6,240,37,84,0.44,8,23,0.348,22,27,1,15,27,42,15,4,4,12,16,104,NYK,2016,Regular Season,2016-17
41600106,2017-04-28,BOS @ CHI,CHI,t,L,2,4,0.333,240,32,81,0.395,4,19,0.211,15,17,1,11,34,45,13,5,2,13,16,83,BOS,2016,Playoffs,2016-17
41600103,2017-04-21,BOS @ CHI,CHI,t,L,2,1,0.667,240,33,84,0.393,6,21,0.286,15,15,1,15,37,52,14,7,8,17,15,87,BOS,2016,Playoffs,2016-17
21600441,2016-12-22,SAS @ LAC,LAC,t,W,22,8,0.733,240,39,83,0.47,11,28,0.393,17,22,1,6,34,40,18,8,6,12,22,106,SAS,2016,Regular Season,2016-17
21600167,2016-11-16,MEM @ LAC,LAC,t,L,10,2,0.833,240,37,81,0.457,9,25,0.36,24,34,1,8,27,35,15,13,7,8,19,107,MEM,2016,Regular Season,2016-17
21600064,2016-11-02,OKC @ LAC,LAC,t,L,3,1,0.75,240,34,87,0.391,7,22,0.318,8,18,0,8,33,41,22,13,5,17,19,83,OKC,2016,Regular Season,2016-17
41600172,2017-04-18,UTA @ LAC,LAC,t,W,1,1,0.5,240,44,84,0.524,6,20,0.3,5,8,1,8,31,39,26,7,4,11,23,99,UTA,2016,Playoffs,2016-17
21601202,2017-04-09,MIN @ LAL,LAl,t,W,25,55,0.313,240,42,86,0.488,10,27,0.37,16,20,1,12,28,40,26,10,8,16,23,110,MIN,2016,Regular Season,2016-17
21601187,2017-04-07,SAC @ LAL,LAl,t,W,24,55,0.304,240,38,86,0.442,4,24,0.167,18,25,1,16,25,41,20,12,1,14,15,98,SAC,2016,Regular Season,2016-17
21600933,2017-03-05,NOP @ LAL,LAl,t,L,19,44,0.302,240,38,83,0.458,10,28,0.357,11,15,1,11,38,49,22,7,5,25,24,97,NOP,2016,Regular Season,2016-17
21600894,2017-02-28,CHA @ LAL,LAl,t,L,19,42,0.311,240,41,84,0.488,12,32,0.375,10,13,1,6,33,39,22,9,5,14,23,104,CHO,2016,Regular Season,2016-17
21600567,2017-01-08,ORL @ LAL,LAl,t,W,15,26,0.366,240,42,87,0.483,8,32,0.25,19,24,1,6,41,47,23,8,5,13,21,111,ORL,2016,Regular Season,2016-17
21600549,2017-01-06,MIA @ LAL,LAl,t,W,14,26,0.35,240,48,96,0.5,10,28,0.357,21,29,1,18,44,62,22,6,2,11,22,127,MIA,2016,Regular Season,2016-17
21600491,2016-12-29,DAL @ LAL,LAl,t,L,12,24,0.333,240,32,68,0.471,7,19,0.368,18,25,1,7,27,34,15,8,1,15,18,89,DAL,2016,Regular Season,2016-17
21600460,2016-12-25,LAC @ LAL,LAl,t,W,12,22,0.353,240,40,84,0.476,8,25,0.32,23,30,1,13,35,48,18,7,3,13,21,111,LAC,2016,Regular Season,2016-17
21600252,2016-11-27,ATL @ LAL,LAl,t,W,9,9,0.5,240,42,95,0.442,8,20,0.4,17,20,1,15,38,53,20,7,2,9,15,109,ATL,2016,Regular Season,2016-17
21600157,2016-11-15,BKN @ LAL,LAl,t,W,7,5,0.583,240,41,92,0.446,9,28,0.321,34,43,1,14,41,55,24,9,2,11,17,125,BRK,2016,Regular Season,2016-17
21601195,2017-04-08,NOP @ GSW,GSW,t,W,66,14,0.825,240,49,96,0.51,10,33,0.303,15,16,1,14,39,53,37,2,4,9,15,123,NOP,2016,Regular Season,2016-17
21601152,2017-04-02,WAS @ GSW,GSW,t,W,63,14,0.818,240,50,88,0.568,16,36,0.444,23,26,1,10,34,44,34,7,10,16,20,139,WAS,2016,Regular Season,2016-17
21601003,2017-03-14,PHI @ GSW,GSW,t,W,53,14,0.791,240,32,88,0.364,14,32,0.438,28,35,1,13,30,43,24,12,11,18,24,106,PHI,2016,Regular Season,2016-17
21600550,2017-01-06,MEM @ GSW,GSW,t,L,31,6,0.838,265,41,83,0.494,8,30,0.267,29,39,1,7,37,44,23,7,5,16,21,119,MEM,2016,Regular Season,2016-17
21600501,2016-12-30,DAL @ GSW,GSW,t,W,29,5,0.853,240,42,84,0.5,11,33,0.333,13,15,1,4,39,43,31,5,4,13,12,108,DAL,2016,Regular Season,2016-17
21600405,2016-12-17,POR @ GSW,GSW,t,W,24,4,0.857,240,51,87,0.586,14,28,0.5,19,26,1,9,47,56,36,7,5,15,16,135,POR,2016,Regular Season,2016-17
21600299,2016-12-03,PHX @ GSW,GSW,t,W,17,3,0.85,240,49,78,0.628,14,21,0.667,26,34,1,6,32,38,37,9,5,17,19,138,PHO,2016,Regular Season,2016-17
21600259,2016-11-28,ATL @ GSW,GSW,t,W,16,2,0.889,240,37,85,0.435,12,35,0.343,19,24,1,7,34,41,25,6,10,14,20,105,ATL,2016,Regular Season,2016-17
21600099,2016-11-07,NOP @ GSW,GSW,t,W,5,2,0.714,240,45,90,0.5,16,35,0.457,10,12,1,10,28,38,35,14,4,15,17,116,NOP,2016,Regular Season,2016-17
41600311,2017-05-14,SAS @ GSW,GSW,t,W,1,0,1,240,39,81,0.481,11,30,0.367,24,33,1,17,26,43,22,13,8,19,24,113,SAS,2016,Playoffs,2016-17
41600222,2017-05-04,UTA @ GSW,GSW,t,W,2,0,1,240,42,85,0.494,14,31,0.452,17,20,1,9,38,47,33,11,4,17,20,115,UTA,2016,Playoffs,2016-17
21601182,2017-04-07,DET @ HOU,HOU,t,L,53,26,0.671,240,36,87,0.414,16,51,0.314,21,28,1,9,40,49,25,3,6,11,15,109,DET,2016,Regular Season,2016-17
21600872,2017-02-25,MIN @ HOU,HOU,t,W,42,18,0.7,240,44,94,0.468,22,58,0.379,32,42,1,13,19,32,32,15,6,13,21,142,MIN,2016,Regular Season,2016-17
21600726,2017-01-31,SAC @ HOU,HOU,t,W,36,16,0.692,240,38,85,0.447,14,45,0.311,15,22,1,11,49,60,28,4,4,14,24,105,SAC,2016,Regular Season,2016-17
21600646,2017-01-20,GSW @ HOU,HOU,t,L,33,13,0.717,240,43,96,0.448,7,35,0.2,15,18,1,13,28,41,26,8,3,14,17,108,GSW,2016,Regular Season,2016-17
