Date,Start (ET),Visitor,PTS-V,Home,PTS-H
Tue Oct 16 2018,8:00p,PHI,87,BOS,105
Tue Oct 16 2018,10:30p,OKC,100,GSW,108
Wed Oct 17 2018,7:00p,MIL,113,CHO,112
Wed Oct 17 2018,7:00p,BRK,100,DET,103
Wed Oct 17 2018,8:00p,NOP,131,HOU,112
Wed Oct 17 2018,7:00p,MEM,83,IND,111
Wed Oct 17 2018,10:30p,DEN,107,LAC,98
Wed Oct 17 2018,7:30p,ATL,107,NYK,126
Wed Oct 17 2018,7:00p,MIA,101,ORL,104
Wed Oct 17 2018,10:30p,DAL,100,PHO,121
Wed Oct 17 2018,10:00p,UTA,123,SAC,117
Wed Oct 17 2018,8:30p,MIN,108,SAS,112
Wed Oct 17 2018,7:30p,CLE,104,TOR,116
Thu Oct 18 2018,8:00p,CHI,108,PHI,127
Thu Oct 18 2018,10:30p,LAL,119,POR,128
Thu Oct 18 2018,8:00p,MIA,113,WAS,112
Fri Oct 19 2018,7:30p,NYK,105,BRK,107
Fri Oct 19 2018,10:30p,OKC,92,LAC,108
Fri Oct 19 2018,8:00p,ATL,117,MEM,131
Fri Oct 19 2018,8:30p,IND,101,MIL,118
Fri Oct 19 2018,8:00p,CLE,123,MIN,131
Fri Oct 19 2018,8:00p,SAC,129,NOP,149
Fri Oct 19 2018,7:00p,CHO,120,ORL,88
Fri Oct 19 2018,8:00p,BOS,101,TOR,113
Fri Oct 19 2018,10:30p,GSW,124,UTA,123
Sat Oct 20 2018,8:00p,DET,118,CHI,116
Sat Oct 20 2018,8:30p,MIN,136,DAL,140
Sat Oct 20 2018,9:00p,PHO,91,DEN,119
Sat Oct 20 2018,7:00p,BRK,112,IND,132
Sat Oct 20 2018,10:30p,HOU,124,LAL,115
Sat Oct 20 2018,8:00p,CHO,113,MIA,112
Sat Oct 20 2018,7:30p,BOS,103,NYK,101
Sat Oct 20 2018,7:30p,ORL,115,PHI,116
Sat Oct 20 2018,10:00p,SAS,108,POR,121
Sat Oct 20 2018,7:00p,TOR,117,WAS,113
