Date,Start (ET),Visitor,PTS-V,Home,PTS-H
Wed Nov 9 2016,7:00p,BRK,96,NYK,110
Wed Nov 9 2016,8:00p,TOR,112,OKC,102
Wed Nov 9 2016,7:00p,MIN,123,ORL,107
Wed Nov 9 2016,9:00p,DET,100,PHO,107
Wed Nov 9 2016,9:30p,HOU,101,SAS,99
Wed Nov 9 2016,7:00p,BOS,93,WAS,118
Thu Nov 10 2016,9:00p,GSW,125,DEN,101
Thu Nov 10 2016,8:00p,CHI,98,MIA,95
Thu Nov 10 2016,8:00p,NOP,112,MIL,106
Thu Nov 10 2016,10:30p,LAL,101,SAC,91
Fri Nov 11 2016,7:30p,NYK,87,BOS,115
Fri Nov 11 2016,7:00p,TOR,113,CHO,111
Fri Nov 11 2016,8:00p,LAC,110,OKC,108
Fri Nov 11 2016,7:00p,UTA,87,ORL,74
Fri Nov 11 2016,7:00p,IND,105,PHI,109
Fri Nov 11 2016,10:00p,SAC,120,POR,122
Fri Nov 11 2016,8:30p,DET,86,SAS,96
Fri Nov 11 2016,7:00p,CHO,105,WAS,94
Sat Nov 12 2016,7:30p,PHI,96,ATL,117
Sat Nov 12 2016,8:00p,WAS,95,CHI,106
Sat Nov 12 2016,9:00p,DET,106,DEN,95
Sat Nov 12 2016,8:00p,SAS,106,HOU,100
Sat Nov 12 2016,7:00p,BOS,105,IND,99
Sat Nov 12 2016,8:00p,UTA,102,MIA,91
Sat Nov 12 2016,8:30p,MEM,96,MIL,106
Sat Nov 12 2016,8:00p,LAC,119,MIN,105
Sat Nov 12 2016,7:00p,LAL,126,NOP,99
Sat Nov 12 2016,9:00p,BRK,122,PHO,104
Sat Nov 12 2016,7:30p,NYK,107,TOR,118
Sun Nov 13 2016,3:30p,CHO,93,CHO,100
Sun Nov 13 2016,8:00p,PHO,120,GSW,133
Sun Nov 13 2016,7:00p,LAL,99,MIN,125
Sun Nov 13 2016,7:00p,ORL,119,OKC,117
Sun Nov 13 2016,9:00p,DEN,105,POR,112
Mon Nov 14 2016,7:30p,OKC,88,DET,104
Mon Nov 14 2016,8:00p,PHI,88,HOU,115
Mon Nov 14 2016,7:00p,ORL,69,IND,88
Mon Nov 14 2016,10:30p,BRK,95,LAC,127
Mon Nov 14 2016,8:00p,BOS,105,NOP,106
Mon Nov 14 2016,7:30p,DAL,77,NYK,93
Mon Nov 14 2016,8:30p,MIA,90,SAS,94
Mon Nov 14 2016,9:00p,MEM,102,UTA,96
Tue Nov 15 2016,7:00p,TOR,117,CHO,121
Tue Nov 15 2016,10:30p,BRK,118,LAL,125
Tue Nov 15 2016,7:30p,ATL,93,MIA,90
Tue Nov 15 2016,8:00p,CHO,115,MIN,108
Tue Nov 15 2016,10:00p,CHI,113,POR,88
Wed Nov 16 2016,7:30p,MIL,100,ATL,107
Wed Nov 16 2016,7:30p,DAL,83,BOS,90
Wed Nov 16 2016,9:00p,PHO,104,DEN,120
Wed Nov 16 2016,7:00p,CHO,93,IND,103
Wed Nov 16 2016,10:30p,MEM,111,LAC,107
Wed Nov 16 2016,7:30p,DET,102,NYK,105
Wed Nov 16 2016,8:00p,HOU,103,OKC,105
Wed Nov 16 2016,7:00p,NOP,82,ORL,89
Wed Nov 16 2016,7:00p,WAS,102,PHI,109
Wed Nov 16 2016,10:30p,SAS,110,SAC,105
Wed Nov 16 2016,8:00p,GSW,127,TOR,121
Thu Nov 17 2016,8:00p,POR,109,HOU,126
Thu Nov 17 2016,7:30p,MIL,73,MIA,96
Thu Nov 17 2016,8:00p,PHI,86,MIN,110
Thu Nov 17 2016,10:30p,CHI,85,UTA,77
Thu Nov 17 2016,7:00p,NYK,112,WAS,119
Fri Nov 18 2016,8:00p,GSW,104,BOS,88
Fri Nov 18 2016,7:00p,ATL,96,CHO,100
Fri Nov 18 2016,7:30p,DET,81,CHO,104
Fri Nov 18 2016,8:30p,MEM,80,DAL,64
Fri Nov 18 2016,9:00p,TOR,113,DEN,111
Fri Nov 18 2016,7:00p,PHO,116,IND,96
Fri Nov 18 2016,10:30p,SAS,116,LAL,107
Fri Nov 18 2016,8:00p,POR,101,NOP,113
Fri Nov 18 2016,8:00p,BRK,105,OKC,124
Fri Nov 18 2016,10:30p,LAC,121,SAC,115
Sat Nov 19 2016,7:00p,BOS,94,DET,92
Sat Nov 19 2016,5:00p,UTA,102,HOU,111
Sat Nov 19 2016,10:30p,CHI,95,LAC,102
Sat Nov 19 2016,8:00p,MIN,71,MEM,93
Sat Nov 19 2016,8:30p,GSW,124,MIL,121
Sat Nov 19 2016,7:00p,CHO,116,NOP,121
Sat Nov 19 2016,7:00p,DAL,87,ORL,95
Sat Nov 19 2016,7:30p,PHO,105,PHI,120
Sat Nov 19 2016,7:00p,MIA,114,WAS,111
Sun Nov 20 2016,3:30p,POR,129,BRK,109
Sun Nov 20 2016,9:00p,UTA,91,DEN,105
Sun Nov 20 2016,9:30p,CHI,118,LAL,110
Sun Nov 20 2016,12:00p,ATL,94,NYK,104
Sun Nov 20 2016,7:00p,IND,115,OKC,111
Sun Nov 20 2016,9:00p,TOR,99,SAC,102
Mon Nov 21 2016,7:00p,MEM,105,CHO,90
Mon Nov 21 2016,7:30p,HOU,99,DET,96
Mon Nov 21 2016,7:00p,GSW,120,IND,83
Mon Nov 21 2016,10:30p,TOR,115,LAC,123
Mon Nov 21 2016,8:00p,ORL,89,MIL,93
Mon Nov 21 2016,8:00p,BOS,99,MIN,93
Mon Nov 21 2016,7:00p,MIA,94,PHI,101
Mon Nov 21 2016,8:30p,DAL,91,SAS,96
Mon Nov 21 2016,7:00p,PHO,101,WAS,106
Tue Nov 22 2016,7:30p,NOP,112,ATL,94
Tue Nov 22 2016,9:00p,CHI,107,DEN,110
Tue Nov 22 2016,10:30p,OKC,109,LAL,111
Tue Nov 22 2016,7:30p,POR,103,NYK,107
Wed Nov 23 2016,7:30p,BOS,111,BRK,92
Wed Nov 23 2016,7:00p,SAS,119,CHO,114
Wed Nov 23 2016,7:00p,POR,125,CHO,137
Wed Nov 23 2016,8:30p,LAC,124,DAL,104
Wed Nov 23 2016,7:30p,MIA,84,DET,107
Wed Nov 23 2016,10:30p,LAL,106,GSW,149
Wed Nov 23 2016,8:00p,TOR,115,HOU,102
Wed Nov 23 2016,7:00p,ATL,96,IND,85
