,game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
835,21600745,2017-02-02,GSW @ LAC,1610612746,t,L,31.0,19.0,0.62,240,40.0,80.0,0.5,10.0,25.0,0.4,30.0,39.0,1.0,9.0,28.0,37,24.0,7.0,7.0,15.0,18.0,120,1610612744,2016,Regular Season,2016-17
836,21600739,2017-02-01,PHX vs. LAC,1610612746,f,W,31.0,18.0,0.633,240,44.0,85.0,0.518,5.0,19.0,0.263,31.0,38.0,1.0,8.0,38.0,46,20.0,9.0,8.0,10.0,28.0,124,1610612756,2016,Regular Season,2016-17
837,21600675,2017-01-24,PHI vs. LAC,1610612746,f,L,30.0,17.0,0.638,240,33.0,71.0,0.465,18.0,34.0,0.529,26.0,41.0,1.0,11.0,35.0,46,17.0,4.0,1.0,17.0,22.0,110,1610612755,2016,Regular Season,2016-17
838,21600667,2017-01-23,ATL vs. LAC,1610612746,f,W,30.0,16.0,0.652,240,42.0,84.0,0.5,14.0,24.0,0.583,17.0,22.0,1.0,10.0,36.0,46,23.0,4.0,8.0,11.0,19.0,115,1610612737,2016,Regular Season,2016-17
839,21600601,2017-01-14,LAL @ LAC,1610612746,t,W,28.0,14.0,0.667,240,48.0,92.0,0.522,10.0,28.0,0.35700000000000004,7.0,8.0,1.0,7.0,35.0,42,28.0,6.0,6.0,7.0,24.0,113,1610612747,2016,Regular Season,2016-17
840,21600519,2017-01-02,PHX @ LAC,1610612746,t,W,23.0,14.0,0.622,240,37.0,80.0,0.46299999999999997,7.0,16.0,0.43799999999999994,28.0,38.0,1.0,12.0,39.0,51,17.0,1.0,11.0,19.0,21.0,109,1610612756,2016,Regular Season,2016-17
1831,41700232,2018-05-01,GSW vs. NOP,1610612740,f,L,0.0,2.0,0.0,240,48.0,105.0,0.457,13.0,37.0,0.35100000000000003,7.0,9.0,1.0,10.0,36.0,46,33.0,12.0,5.0,13.0,19.0,116,1610612744,2017,Playoffs,2017-18
2004,21601156,2017-04-04,ORL @ CLE,1610612739,t,W,50.0,27.0,0.649,240,44.0,82.0,0.537,18.0,36.0,0.5,16.0,21.0,1.0,5.0,37.0,42,30.0,9.0,3.0,12.0,18.0,122,1610612753,2016,Regular Season,2016-17
2005,21600338,2016-12-09,MIA @ CLE,1610612739,t,W,16.0,5.0,0.762,240,46.0,83.0,0.5539999999999999,9.0,24.0,0.375,13.0,19.0,1.0,11.0,36.0,47,23.0,7.0,9.0,11.0,16.0,114,1610612748,2016,Regular Season,2016-17
2006,21600305,2016-12-05,TOR vs. CLE,1610612739,f,W,14.0,5.0,0.737,240,40.0,84.0,0.47600000000000003,14.0,32.0,0.43799999999999994,22.0,27.0,1.0,13.0,35.0,48,21.0,4.0,3.0,14.0,21.0,116,1610612761,2016,Regular Season,2016-17
2007,21600262,2016-11-29,MIL vs. CLE,1610612739,f,L,13.0,3.0,0.813,240,32.0,75.0,0.42700000000000005,14.0,39.0,0.359,23.0,31.0,1.0,7.0,28.0,35,17.0,7.0,6.0,19.0,19.0,101,1610612749,2016,Regular Season,2016-17
2008,21600227,2016-11-25,DAL @ CLE,1610612739,t,W,12.0,2.0,0.857,240,43.0,85.0,0.506,20.0,43.0,0.465,22.0,24.0,1.0,9.0,38.0,47,30.0,9.0,3.0,14.0,16.0,128,1610612742,2016,Regular Season,2016-17
2009,41600404,2017-06-09,GSW @ CLE,1610612739,t,W,1.0,3.0,0.25,240,46.0,87.0,0.529,24.0,45.0,0.5329999999999999,21.0,31.0,1.0,11.0,30.0,41,27.0,6.0,3.0,11.0,24.0,137,1610612744,2016,Playoffs,2016-17
2010,41600301,2017-05-17,BOS vs. CLE,1610612739,f,W,1.0,0.0,1.0,240,39.0,81.0,0.48100000000000004,11.0,31.0,0.355,28.0,35.0,1.0,12.0,32.0,44,21.0,9.0,2.0,8.0,17.0,117,1610612738,2016,Playoffs,2016-17
2012,21600478,2016-12-28,NYK @ ATL,1610612737,t,W,16.0,16.0,0.5,265,37.0,101.0,0.366,7.0,27.0,0.259,21.0,27.0,1.0,17.0,38.0,55,19.0,8.0,3.0,13.0,19.0,102,1610612752,2016,Regular Season,2016-17
2013,21601204,2017-04-10,BKN @ BOS,1610612738,t,W,52.0,29.0,0.642,240,41.0,91.0,0.451,14.0,38.0,0.368,18.0,21.0,1.0,9.0,42.0,51,31.0,7.0,4.0,13.0,23.0,114,1610612751,2016,Regular Season,2016-17
2014,21600472,2016-12-27,MEM @ BOS,1610612738,t,W,19.0,13.0,0.594,240,41.0,85.0,0.48200000000000004,12.0,31.0,0.387,19.0,21.0,1.0,14.0,33.0,47,30.0,6.0,7.0,17.0,24.0,113,1610612763,2016,Regular Season,2016-17
2015,21600424,2016-12-20,MEM vs. BOS,1610612738,f,W,16.0,12.0,0.5710000000000001,265,33.0,81.0,0.40700000000000003,12.0,37.0,0.324,34.0,38.0,1.0,8.0,33.0,41,22.0,7.0,5.0,11.0,22.0,112,1610612763,2016,Regular Season,2016-17
2016,21600225,2016-11-25,SAS @ BOS,1610612738,t,L,9.0,7.0,0.563,240,42.0,91.0,0.462,12.0,34.0,0.353,7.0,9.0,1.0,8.0,28.0,36,32.0,8.0,4.0,10.0,21.0,103,1610612759,2016,Regular Season,2016-17
2017,21600217,2016-11-23,BKN vs. BOS,1610612738,f,W,9.0,6.0,0.6,240,45.0,98.0,0.45899999999999996,15.0,38.0,0.395,6.0,8.0,1.0,12.0,39.0,51,26.0,13.0,6.0,13.0,22.0,111,1610612751,2016,Regular Season,2016-17
2018,21600205,2016-11-21,MIN vs. BOS,1610612738,f,W,8.0,6.0,0.5710000000000001,240,38.0,84.0,0.452,12.0,38.0,0.316,11.0,14.0,1.0,6.0,33.0,39,20.0,5.0,4.0,11.0,21.0,99,1610612750,2016,Regular Season,2016-17
2019,21600148,2016-11-14,NOP vs. BOS,1610612738,f,L,5.0,5.0,0.5,240,38.0,95.0,0.4,12.0,41.0,0.293,17.0,20.0,1.0,11.0,33.0,44,19.0,9.0,0.0,10.0,27.0,105,1610612740,2016,Regular Season,2016-17
2021,21600571,2017-01-10,CHI @ WAS,1610612764,t,W,19.0,18.0,0.514,240,42.0,83.0,0.506,11.0,22.0,0.5,6.0,9.0,1.0,7.0,35.0,42,24.0,8.0,6.0,21.0,24.0,101,1610612741,2016,Regular Season,2016-17
2023,21600107,2016-11-09,BOS @ WAS,1610612764,t,W,2.0,5.0,0.28600000000000003,240,46.0,92.0,0.5,10.0,21.0,0.47600000000000003,16.0,20.0,1.0,19.0,35.0,54,29.0,9.0,7.0,11.0,26.0,118,1610612738,2016,Regular Season,2016-17
2024,21600081,2016-11-05,ORL vs. WAS,1610612764,f,L,1.0,4.0,0.2,240,34.0,86.0,0.395,6.0,17.0,0.353,12.0,17.0,1.0,14.0,35.0,49,11.0,4.0,5.0,10.0,23.0,86,1610612753,2016,Regular Season,2016-17
2025,21600070,2016-11-04,ATL @ WAS,1610612764,t,W,1.0,3.0,0.25,240,31.0,80.0,0.38799999999999996,5.0,20.0,0.25,28.0,35.0,1.0,11.0,35.0,46,13.0,7.0,3.0,19.0,23.0,95,1610612737,2016,Regular Season,2016-17
2026,21600039,,MEM vs. WAS,1610612764,f,L,0.0,2.0,0.0,265,38.0,86.0,0.442,5.0,25.0,0.2,22.0,25.0,1.0,8.0,32.0,40,19.0,8.0,4.0,14.0,23.0,103,1610612763,2016,Regular Season,2016-17
2027,11600096,,TOR @ WAS,1610612764,t,W,4.0,3.0,0.5710000000000001,240,49.0,85.0,0.5760000000000001,14.0,29.0,0.483,7.0,12.0,1.0,10.0,40.0,50,33.0,7.0,8.0,17.0,23.0,119,1610612761,2016,Pre Season,2016-17
2029,21600705,2017-01-28,MIA vs. DET,1610612765,f,L,21.0,26.0,0.447,240,46.0,89.0,0.517,4.0,12.0,0.33299999999999996,7.0,12.0,1.0,13.0,29.0,42,11.0,6.0,3.0,12.0,16.0,103,1610612748,2016,Regular Season,2016-17
2030,21600082,2016-11-05,DEN @ DET,1610612765,t,W,4.0,2.0,0.667,240,40.0,84.0,0.47600000000000003,7.0,20.0,0.35,16.0,22.0,1.0,9.0,38.0,47,22.0,9.0,9.0,13.0,16.0,103,1610612743,2016,Regular Season,2016-17
2031,21600007,,TOR vs. DET,1610612765,f,L,0.0,1.0,0.0,240,35.0,84.0,0.41700000000000004,4.0,22.0,0.182,17.0,22.0,1.0,8.0,32.0,40,17.0,8.0,0.0,13.0,24.0,91,1610612761,2016,Regular Season,2016-17
2032,11600066,,PHI vs. DET,1610612765,f,W,2.0,2.0,0.5,240,36.0,77.0,0.46799999999999997,9.0,21.0,0.429,16.0,26.0,1.0,12.0,32.0,44,21.0,14.0,2.0,16.0,22.0,97,1610612755,2016,Pre Season,2016-17
2033,21600398,2016-12-16,DAL @ UTA,1610612762,t,W,17.0,10.0,0.63,240,37.0,65.0,0.569,8.0,22.0,0.364,21.0,27.0,1.0,8.0,33.0,41,18.0,4.0,3.0,16.0,23.0,103,1610612742,2016,Regular Season,2016-17
2034,21600354,2016-12-10,SAC @ UTA,1610612762,t,W,15.0,10.0,0.6,240,37.0,77.0,0.48100000000000004,13.0,29.0,0.44799999999999995,17.0,18.0,1.0,13.0,41.0,54,23.0,9.0,10.0,22.0,16.0,104,1610612758,2016,Regular Season,2016-17
2035,21600335,2016-12-08,GSW @ UTA,1610612762,t,L,14.0,10.0,0.583,240,37.0,89.0,0.41600000000000004,10.0,38.0,0.263,15.0,21.0,1.0,12.0,34.0,46,20.0,8.0,2.0,15.0,22.0,99,1610612744,2016,Regular Season,2016-17
2037,21600297,2016-12-03,DEN @ UTA,1610612762,t,W,12.0,9.0,0.5710000000000001,240,35.0,78.0,0.449,9.0,25.0,0.36,26.0,28.0,1.0,7.0,33.0,40,20.0,8.0,3.0,9.0,13.0,105,1610612743,2016,Regular Season,2016-17
2038,21600280,2016-12-01,MIA @ UTA,1610612762,t,L,11.0,9.0,0.55,240,40.0,73.0,0.5479999999999999,17.0,30.0,0.5670000000000001,13.0,17.0,1.0,5.0,26.0,31,24.0,5.0,8.0,11.0,14.0,110,1610612748,2016,Regular Season,2016-17
2039,21600265,2016-11-29,HOU @ UTA,1610612762,t,W,11.0,8.0,0.579,240,41.0,74.0,0.5539999999999999,15.0,28.0,0.536,23.0,27.0,1.0,5.0,35.0,40,23.0,4.0,5.0,8.0,20.0,120,1610612745,2016,Regular Season,2016-17
2040,21600258,2016-11-28,MIN vs. UTA,1610612762,f,W,10.0,8.0,0.556,240,40.0,79.0,0.506,4.0,18.0,0.222,28.0,34.0,1.0,12.0,30.0,42,19.0,9.0,3.0,12.0,21.0,112,1610612750,2016,Regular Season,2016-17
2042,21600961,2017-03-09,LAC @ MEM,1610612763,t,L,36.0,29.0,0.5539999999999999,240,37.0,83.0,0.446,7.0,20.0,0.35,17.0,22.0,1.0,6.0,28.0,34,26.0,6.0,2.0,9.0,22.0,98,1610612746,2016,Regular Season,2016-17
2043,21600892,2017-02-28,PHX @ MEM,1610612763,t,W,36.0,25.0,0.59,240,48.0,86.0,0.5579999999999999,12.0,25.0,0.48,22.0,29.0,1.0,12.0,27.0,39,24.0,6.0,3.0,10.0,19.0,130,1610612756,2016,Regular Season,2016-17
2044,21600368,2016-12-13,CLE vs. MEM,1610612763,f,L,17.0,9.0,0.654,240,35.0,86.0,0.40700000000000003,4.0,22.0,0.182,12.0,15.0,1.0,11.0,32.0,43,19.0,10.0,6.0,15.0,23.0,86,1610612739,2016,Regular Season,2016-17
2045,21600318,2016-12-06,PHI @ MEM,1610612763,t,W,15.0,8.0,0.652,240,33.0,86.0,0.384,2.0,17.0,0.11800000000000001,28.0,35.0,1.0,12.0,41.0,53,18.0,8.0,5.0,13.0,25.0,96,1610612755,2016,Regular Season,2016-17
2046,21600278,2016-12-01,ORL @ MEM,1610612763,t,W,12.0,8.0,0.6,240,33.0,79.0,0.418,7.0,18.0,0.389,22.0,28.0,1.0,8.0,31.0,39,18.0,9.0,9.0,10.0,25.0,95,1610612753,2016,Regular Season,2016-17
2047,21600233,2016-11-25,MIA @ MEM,1610612763,t,L,10.0,6.0,0.625,240,29.0,82.0,0.354,4.0,19.0,0.21100000000000002,19.0,23.0,1.0,16.0,35.0,51,14.0,3.0,14.0,17.0,16.0,81,1610612748,2016,Regular Season,2016-17
2048,21600201,2016-11-21,CHA vs. MEM,1610612763,f,W,9.0,5.0,0.643,240,40.0,84.0,0.47600000000000003,12.0,26.0,0.462,13.0,17.0,1.0,6.0,34.0,40,24.0,7.0,8.0,10.0,24.0,105,1610612766,2016,Regular Season,2016-17
2049,21600167,2016-11-16,LAC vs. MEM,1610612763,f,W,6.0,5.0,0.545,240,40.0,82.0,0.488,15.0,26.0,0.5770000000000001,16.0,19.0,1.0,9.0,34.0,43,24.0,6.0,2.0,15.0,22.0,111,1610612746,2016,Regular Season,2016-17
2051,21600894,2017-02-28,LAL vs. CHA,1610612766,f,W,26.0,34.0,0.433,240,38.0,85.0,0.447,16.0,39.0,0.41,17.0,24.0,1.0,11.0,34.0,45,25.0,3.0,5.0,12.0,11.0,109,1610612747,2016,Regular Season,2016-17
2052,21600473,2016-12-27,MIA vs. OKC,1610612760,f,W,20.0,12.0,0.625,240,42.0,82.0,0.512,5.0,19.0,0.263,17.0,25.0,1.0,14.0,32.0,46,21.0,3.0,4.0,17.0,21.0,106,1610612748,2016,Regular Season,2016-17
2053,21600459,2016-12-25,MIN @ OKC,1610612760,t,W,19.0,12.0,0.613,240,42.0,82.0,0.512,8.0,24.0,0.33299999999999996,20.0,24.0,1.0,9.0,33.0,42,26.0,8.0,4.0,15.0,24.0,112,1610612750,2016,Regular Season,2016-17
2054,21600433,2016-12-21,NOP vs. OKC,1610612760,f,W,17.0,12.0,0.586,240,45.0,88.0,0.511,11.0,28.0,0.39299999999999996,20.0,24.0,1.0,13.0,36.0,49,22.0,8.0,6.0,10.0,20.0,121,1610612740,2016,Regular Season,2016-17
2055,21600341,2016-12-09,HOU @ OKC,1610612760,t,L,14.0,9.0,0.609,240,34.0,81.0,0.42,7.0,28.0,0.25,24.0,31.0,1.0,9.0,37.0,46,18.0,9.0,5.0,17.0,19.0,99,1610612745,2016,Regular Season,2016-17
2057,41600165,2017-04-25,HOU vs. OKC,1610612760,f,L,1.0,4.0,0.2,240,35.0,91.0,0.385,10.0,38.0,0.263,19.0,29.0,1.0,18.0,31.0,49,16.0,7.0,7.0,13.0,27.0,99,1610612745,2016,Playoffs,2016-17
2058,41600163,2017-04-21,HOU @ OKC,1610612760,t,W,1.0,2.0,0.33299999999999996,240,46.0,83.0,0.5539999999999999,9.0,19.0,0.474,14.0,23.0,1.0,9.0,31.0,40,24.0,8.0,5.0,11.0,21.0,115,1610612745,2016,Playoffs,2016-17
2062,21600409,2016-12-18,TOR @ ORL,1610612753,t,L,12.0,17.0,0.414,240,34.0,83.0,0.41,3.0,21.0,0.14300000000000002,8.0,9.0,1.0,10.0,32.0,42,13.0,5.0,3.0,19.0,17.0,79,1610612761,2016,Regular Season,2016-17
2065,21600747,2017-02-03,BKN vs. IND,1610612754,f,W,27.0,22.0,0.551,240,37.0,86.0,0.43,8.0,20.0,0.4,24.0,31.0,1.0,12.0,37.0,49,20.0,11.0,10.0,14.0,19.0,106,1610612751,2016,Regular Season,2016-17
2066,21600730,2017-02-01,ORL vs. IND,1610612754,f,W,26.0,22.0,0.542,240,33.0,69.0,0.478,9.0,20.0,0.45,23.0,26.0,1.0,5.0,33.0,38,25.0,5.0,1.0,17.0,23.0,98,1610612753,2016,Regular Season,2016-17
2067,21600713,2017-01-29,HOU @ IND,1610612754,t,W,25.0,22.0,0.532,240,47.0,87.0,0.54,5.0,21.0,0.23800000000000002,21.0,26.0,1.0,7.0,35.0,42,28.0,9.0,7.0,10.0,21.0,120,1610612745,2016,Regular Season,2016-17
2068,21600691,2017-01-26,MIN vs. IND,1610612754,f,W,23.0,22.0,0.511,240,42.0,81.0,0.519,10.0,18.0,0.556,15.0,17.0,1.0,6.0,38.0,44,21.0,7.0,4.0,18.0,22.0,109,1610612750,2016,Regular Season,2016-17
2069,21600659,2017-01-21,UTA vs. IND,1610612754,f,L,22.0,21.0,0.512,240,39.0,77.0,0.506,10.0,20.0,0.5,12.0,17.0,1.0,4.0,32.0,36,17.0,10.0,3.0,16.0,23.0,100,1610612762,2016,Regular Season,2016-17
2070,21600635,2017-01-18,SAC vs. IND,1610612754,f,W,22.0,19.0,0.537,240,39.0,75.0,0.52,7.0,21.0,0.33299999999999996,21.0,25.0,1.0,8.0,24.0,32,22.0,11.0,3.0,14.0,21.0,106,1610612758,2016,Regular Season,2016-17
2071,21600616,2017-01-16,NOP @ IND,1610612754,t,W,21.0,19.0,0.525,240,41.0,81.0,0.506,5.0,19.0,0.263,11.0,16.0,1.0,5.0,40.0,45,26.0,11.0,6.0,16.0,18.0,98,1610612740,2016,Regular Season,2016-17
2072,21601222,2017-04-12,CHI vs. BKN,1610612751,f,L,20.0,62.0,0.244,240,28.0,86.0,0.326,3.0,33.0,0.091,14.0,18.0,1.0,10.0,38.0,48,17.0,8.0,3.0,18.0,16.0,73,1610612741,2016,Regular Season,2016-17
2073,21601204,2017-04-10,BOS vs. BKN,1610612751,f,L,20.0,61.0,0.247,240,31.0,86.0,0.36,8.0,31.0,0.258,35.0,39.0,1.0,9.0,40.0,49,18.0,8.0,6.0,12.0,19.0,105,1610612738,2016,Regular Season,2016-17
2074,21601188,2017-04-08,CHI @ BKN,1610612751,t,W,20.0,60.0,0.25,240,39.0,92.0,0.424,10.0,31.0,0.32299999999999995,19.0,24.0,1.0,10.0,34.0,44,24.0,15.0,6.0,13.0,13.0,107,1610612741,2016,Regular Season,2016-17
2075,21601174,2017-04-06,ORL vs. BKN,1610612751,f,L,19.0,60.0,0.24100000000000002,240,40.0,87.0,0.46,11.0,30.0,0.36700000000000005,16.0,22.0,1.0,7.0,32.0,39,21.0,7.0,6.0,14.0,19.0,107,1610612753,2016,Regular Season,2016-17
2076,21601154,2017-04-04,PHI vs. BKN,1610612751,f,W,19.0,59.0,0.244,240,48.0,75.0,0.64,16.0,31.0,0.516,29.0,33.0,1.0,1.0,35.0,36,36.0,9.0,5.0,17.0,18.0,141,1610612755,2016,Regular Season,2016-17
2077,21600536,2017-01-05,IND vs. BKN,1610612751,f,L,8.0,26.0,0.235,240,41.0,90.0,0.456,17.0,38.0,0.447,10.0,13.0,1.0,8.0,37.0,45,22.0,5.0,8.0,13.0,17.0,109,1610612754,2016,Regular Season,2016-17
2078,21600515,2017-01-02,UTA @ BKN,1610612751,t,L,8.0,25.0,0.242,240,33.0,78.0,0.423,6.0,27.0,0.222,17.0,23.0,1.0,8.0,36.0,44,13.0,5.0,5.0,15.0,20.0,89,1610612762,2016,Regular Season,2016-17
2079,21601001,2017-03-14,IND @ NYK,1610612752,t,W,27.0,41.0,0.397,240,35.0,83.0,0.42200000000000004,9.0,28.0,0.321,8.0,13.0,1.0,11.0,41.0,52,21.0,8.0,4.0,14.0,15.0,87,1610612754,2016,Regular Season,2016-17
2080,21600895,2017-03-01,ORL vs. NYK,1610612752,f,W,25.0,36.0,0.41,240,34.0,81.0,0.42,8.0,29.0,0.276,25.0,31.0,1.0,13.0,37.0,50,21.0,9.0,3.0,11.0,16.0,101,1610612753,2016,Regular Season,2016-17
2083,21600638,2017-01-19,WAS @ NYK,1610612752,t,L,19.0,25.0,0.43200000000000005,240,42.0,90.0,0.467,7.0,24.0,0.292,19.0,22.0,1.0,14.0,27.0,41,20.0,7.0,4.0,10.0,14.0,110,1610612764,2016,Regular Season,2016-17
2084,21600630,2017-01-18,BOS vs. NYK,1610612752,f,W,19.0,24.0,0.442,240,46.0,91.0,0.505,10.0,25.0,0.4,15.0,18.0,1.0,18.0,39.0,57,27.0,2.0,8.0,14.0,24.0,117,1610612738,2016,Regular Season,2016-17
2085,21600208,2016-11-22,NYK vs. POR,1610612757,f,L,8.0,8.0,0.5,240,38.0,86.0,0.442,6.0,22.0,0.273,21.0,26.0,1.0,11.0,33.0,44,18.0,5.0,5.0,16.0,13.0,103,1610612752,2016,Regular Season,2016-17
2086,21600194,2016-11-20,BKN vs. POR,1610612757,f,W,8.0,7.0,0.5329999999999999,240,49.0,85.0,0.5760000000000001,15.0,36.0,0.41700000000000004,16.0,21.0,1.0,8.0,42.0,50,23.0,4.0,7.0,15.0,30.0,129,1610612751,2016,Regular Season,2016-17
2087,21600033,,DEN vs. POR,1610612757,f,W,2.0,1.0,0.667,265,45.0,98.0,0.45899999999999996,10.0,32.0,0.313,15.0,21.0,1.0,5.0,40.0,45,23.0,10.0,8.0,15.0,30.0,115,1610612743,2016,Regular Season,2016-17
2088,21601216,2017-04-11,PHX @ SAC,1610612758,t,W,32.0,49.0,0.395,240,43.0,83.0,0.518,9.0,19.0,0.474,34.0,43.0,1.0,8.0,47.0,55,28.0,7.0,2.0,13.0,23.0,129,1610612756,2016,Regular Season,2016-17
2089,21601187,2017-04-07,LAL vs. SAC,1610612758,f,L,31.0,48.0,0.392,240,38.0,75.0,0.507,8.0,20.0,0.4,10.0,13.0,1.0,10.0,30.0,40,27.0,5.0,6.0,23.0,19.0,94,1610612747,2016,Regular Season,2016-17
2090,21601140,2017-04-01,MIN vs. SAC,1610612758,f,W,30.0,47.0,0.39,240,44.0,78.0,0.564,11.0,19.0,0.579,24.0,33.0,1.0,7.0,33.0,40,27.0,5.0,4.0,17.0,27.0,123,1610612750,2016,Regular Season,2016-17
2091,21600847,2017-02-15,GSW vs. SAC,1610612758,f,L,24.0,33.0,0.42100000000000004,240,33.0,89.0,0.371,7.0,24.0,0.292,13.0,17.0,1.0,12.0,38.0,50,23.0,4.0,6.0,18.0,17.0,86,1610612744,2016,Regular Season,2016-17
2095,21600726,2017-01-31,HOU vs. SAC,1610612758,f,L,19.0,30.0,0.38799999999999996,240,30.0,86.0,0.349,8.0,29.0,0.276,15.0,26.0,1.0,10.0,35.0,45,22.0,9.0,7.0,11.0,17.0,83,1610612745,2016,Regular Season,2016-17
2096,21600471,2016-12-26,SAC vs. PHI,1610612755,f,L,7.0,23.0,0.233,240,39.0,79.0,0.494,9.0,25.0,0.36,13.0,18.0,1.0,8.0,30.0,38,20.0,13.0,5.0,22.0,23.0,100,1610612758,2016,Regular Season,2016-17
2097,21600408,2016-12-18,BKN @ PHI,1610612755,t,W,7.0,20.0,0.259,240,38.0,88.0,0.43200000000000005,12.0,28.0,0.429,20.0,23.0,1.0,13.0,34.0,47,23.0,5.0,5.0,17.0,18.0,108,1610612751,2016,Regular Season,2016-17
2098,21600318,2016-12-06,MEM vs. PHI,1610612755,f,L,4.0,18.0,0.182,240,32.0,82.0,0.39,14.0,41.0,0.341,13.0,26.0,0.0,9.0,36.0,45,21.0,5.0,7.0,16.0,27.0,91,1610612763,2016,Regular Season,2016-17
2100,21600304,2016-12-05,DEN @ PHI,1610612755,t,L,4.0,17.0,0.19,240,35.0,86.0,0.40700000000000003,11.0,31.0,0.355,17.0,23.0,1.0,12.0,32.0,44,20.0,12.0,10.0,17.0,25.0,98,1610612743,2016,Regular Season,2016-17
2101,21601026,2017-03-17,ORL @ PHX,1610612756,t,L,22.0,47.0,0.319,240,38.0,87.0,0.43700000000000006,2.0,14.0,0.14300000000000002,25.0,30.0,1.0,12.0,37.0,49,18.0,9.0,8.0,16.0,22.0,103,1610612753,2016,Regular Season,2016-17
2103,21601012,2017-03-15,SAC @ PHX,1610612756,t,L,22.0,46.0,0.324,240,43.0,107.0,0.402,6.0,25.0,0.24,9.0,14.0,1.0,16.0,31.0,47,24.0,9.0,11.0,13.0,25.0,101,1610612758,2016,Regular Season,2016-17
2104,21600591,2017-01-12,DAL @ PHX,1610612756,t,L,12.0,27.0,0.308,240,38.0,78.0,0.48700000000000004,10.0,18.0,0.556,22.0,27.0,1.0,13.0,34.0,47,15.0,2.0,4.0,19.0,23.0,108,1610612742,2016,Regular Season,2016-17
2105,21601042,2017-03-19,SAC @ SAS,1610612759,t,W,53.0,16.0,0.768,240,43.0,87.0,0.494,11.0,28.0,0.39299999999999996,21.0,27.0,1.0,15.0,30.0,45,31.0,9.0,3.0,6.0,20.0,118,1610612758,2016,Regular Season,2016-17
2106,21600925,2017-03-04,MIN @ SAS,1610612759,t,W,48.0,13.0,0.787,265,38.0,94.0,0.40399999999999997,6.0,24.0,0.25,15.0,24.0,1.0,17.0,32.0,49,16.0,10.0,8.0,12.0,17.0,97,1610612750,2016,Regular Season,2016-17
2107,21600134,2016-11-12,HOU vs. SAS,1610612759,f,W,7.0,3.0,0.7,240,41.0,76.0,0.539,5.0,18.0,0.278,19.0,24.0,1.0,2.0,33.0,35,21.0,6.0,11.0,10.0,19.0,106,1610612745,2016,Regular Season,2016-17
2108,21600086,2016-11-05,LAC @ SAS,1610612759,t,L,5.0,2.0,0.7140000000000001,240,30.0,74.0,0.405,10.0,25.0,0.4,22.0,25.0,1.0,7.0,33.0,40,19.0,5.0,5.0,15.0,18.0,92,1610612746,2016,Regular Season,2016-17
2109,21600053,2016-11-01,UTA @ SAS,1610612759,t,L,4.0,1.0,0.8,240,33.0,76.0,0.434,6.0,20.0,0.3,19.0,21.0,1.0,4.0,30.0,34,19.0,6.0,5.0,9.0,15.0,91,1610612762,2016,Regular Season,2016-17
2110,21600032,,NOP @ SAS,1610612759,t,W,3.0,0.0,1.0,240,35.0,83.0,0.42200000000000004,10.0,24.0,0.41700000000000004,18.0,23.0,1.0,6.0,44.0,50,21.0,6.0,7.0,9.0,15.0,98,1610612740,2016,Regular Season,2016-17
2111,11600101,,HOU @ SAS,1610612759,t,W,4.0,2.0,0.667,240,45.0,89.0,0.506,8.0,18.0,0.444,16.0,17.0,1.0,5.0,43.0,48,31.0,7.0,9.0,13.0,15.0,114,1610612745,2016,Pre Season,2016-17
2112,21600497,2016-12-30,MIL @ MIN,1610612750,t,W,11.0,22.0,0.33299999999999996,240,43.0,77.0,0.5579999999999999,13.0,25.0,0.52,17.0,21.0,1.0,8.0,26.0,34,30.0,8.0,5.0,11.0,17.0,116,1610612749,2016,Regular Season,2016-17
2113,21600459,2016-12-25,OKC vs. MIN,1610612750,f,L,9.0,21.0,0.3,240,39.0,83.0,0.47,4.0,12.0,0.33299999999999996,18.0,23.0,1.0,11.0,25.0,36,19.0,11.0,2.0,12.0,21.0,100,1610612760,2016,Regular Season,2016-17
2114,21600450,2016-12-23,SAC @ MIN,1610612750,t,L,9.0,20.0,0.31,240,36.0,79.0,0.456,12.0,32.0,0.375,21.0,26.0,1.0,12.0,30.0,42,18.0,5.0,4.0,12.0,21.0,105,1610612758,2016,Regular Season,2016-17
2115,21600430,2016-12-21,ATL vs. MIN,1610612750,f,W,9.0,19.0,0.321,240,35.0,83.0,0.42200000000000004,9.0,29.0,0.31,13.0,14.0,1.0,15.0,37.0,52,21.0,6.0,6.0,17.0,11.0,92,1610612737,2016,Regular Season,2016-17
2116,21600416,2016-12-19,PHX @ MIN,1610612750,t,W,8.0,19.0,0.29600000000000004,240,42.0,86.0,0.488,7.0,19.0,0.368,24.0,25.0,1.0,11.0,30.0,41,26.0,8.0,7.0,19.0,25.0,115,1610612756,2016,Regular Season,2016-17
2117,21600370,2016-12-13,CHI vs. MIN,1610612750,f,W,7.0,18.0,0.28,240,38.0,86.0,0.442,6.0,21.0,0.28600000000000003,17.0,22.0,1.0,14.0,34.0,48,24.0,3.0,8.0,14.0,14.0,99,1610612741,2016,Regular Season,2016-17
