,Unnamed: 0,game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
194,11901,21600240,2016-11-26,SAS @ WAS,WAS,t,L,5.0,10.0,0.333,240,42.0,88.0,0.477,6.0,22.0,0.273,10.0,14.0,1.0,12.0,28.0,40,21.0,11.0,1.0,12.0,26.0,100,SAS,2016,Regular Season,2016-17
195,11902,21600200,2016-11-21,PHX @ WAS,WAS,t,W,4.0,9.0,0.308,240,37.0,91.0,0.407,10.0,28.0,0.35700000000000004,22.0,34.0,1.0,14.0,31.0,45,25.0,8.0,4.0,11.0,19.0,106,PHO,2016,Regular Season,2016-17
198,11907,41600204,2017-05-07,BOS @ WAS,WAS,t,W,2.0,2.0,0.5,240,44.0,84.0,0.524,9.0,21.0,0.429,24.0,27.0,1.0,12.0,33.0,45,29.0,13.0,3.0,19.0,22.0,121,BOS,2016,Playoffs,2016-17
199,11908,41600135,2017-04-26,ATL @ WAS,WAS,t,W,3.0,2.0,0.6,240,37.0,82.0,0.451,7.0,24.0,0.292,22.0,27.0,1.0,9.0,33.0,42,21.0,8.0,10.0,6.0,20.0,103,ATL,2016,Playoffs,2016-17
203,11915,21601023,2017-03-17,TOR @ DET,DET,t,L,33.0,36.0,0.478,240,29.0,83.0,0.349,3.0,20.0,0.15,14.0,21.0,1.0,12.0,37.0,49,14.0,5.0,5.0,12.0,17.0,75,TOR,2016,Regular Season,2016-17
205,11917,21600890,2017-02-28,POR @ DET,DET,t,W,29.0,31.0,0.483,265,45.0,104.0,0.433,7.0,25.0,0.28,23.0,31.0,1.0,16.0,32.0,48,23.0,13.0,2.0,7.0,19.0,120,POR,2016,Regular Season,2016-17
206,11918,21600839,2017-02-15,DAL @ DET,DET,t,W,27.0,30.0,0.474,240,36.0,82.0,0.439,6.0,19.0,0.316,20.0,22.0,1.0,9.0,46.0,55,15.0,2.0,4.0,15.0,16.0,98,DAL,2016,Regular Season,2016-17
208,11920,21600538,2017-01-05,CHA @ DET,DET,t,W,17.0,21.0,0.447,240,39.0,97.0,0.402,10.0,28.0,0.35700000000000004,27.0,32.0,1.0,16.0,40.0,56,24.0,2.0,6.0,7.0,23.0,115,CHO,2016,Regular Season,2016-17
209,11922,21600523,2017-01-03,IND @ DET,DET,t,L,16.0,21.0,0.4320000000000001,240,48.0,97.0,0.495,10.0,29.0,0.345,10.0,12.0,1.0,16.0,26.0,42,31.0,5.0,5.0,10.0,19.0,116,IND,2016,Regular Season,2016-17
211,11924,21600479,2016-12-28,MIL @ DET,DET,t,L,15.0,19.0,0.441,240,39.0,88.0,0.443,6.0,24.0,0.25,10.0,16.0,1.0,11.0,33.0,44,28.0,4.0,1.0,10.0,12.0,94,MIL,2016,Regular Season,2016-17
214,11927,21600317,2016-12-06,CHI @ DET,DET,t,W,12.0,11.0,0.522,240,40.0,88.0,0.455,8.0,21.0,0.381,14.0,21.0,1.0,9.0,35.0,44,24.0,10.0,5.0,9.0,23.0,102,CHI,2016,Regular Season,2016-17
